Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,2023-08-15_256samples_623B.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_629A2A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_630A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_631B.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_632B_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_633A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_638A1.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_642A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_643E.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP10A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP13A_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP15C_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP17D.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP19F2.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP20G1.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP3F2.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP5A.bam_scaffolds.fasta_PROKKA_04102026,2023-08-15_256samples_CP6A.fasta_PROKKA_04102026
group_3024,,hypothetical protein,18,18,1.0,1,5919,,,,291,297,294.3333333333333,DHHEPMPN_00908,CBBFEIEG_05033,JAGMMPDK_01876,JCGKDLKP_02696,IJJMJDPO_00661,OPLBPFOJ_00552,PAPKKMNH_03655,EEMOKJNN_01208,JPLAHNLF_01809,DHNKKDKB_00007,EONIFOAI_03335,KPCEIPFN_03224,BLLKJOKP_00617,HALBOOGP_03884,POFILHDL_00007,GOKHHJCB_02569,MFFOPBKH_00617,HGPKINJB_02958
group_3022,,hypothetical protein,18,18,1.0,1,5915,,,,2559,2565,2561.0,DHHEPMPN_00727,CBBFEIEG_01975,JAGMMPDK_01273,JCGKDLKP_01813,IJJMJDPO_01361,OPLBPFOJ_01416,PAPKKMNH_01158,EEMOKJNN_01591,JPLAHNLF_01193,DHNKKDKB_02468,EONIFOAI_00746,KPCEIPFN_00984,BLLKJOKP_01424,HALBOOGP_01025,POFILHDL_02229,GOKHHJCB_00134,MFFOPBKH_02252,HGPKINJB_01538
sumT,sumT,Uroporphyrinogen-III C-methyltransferase,18,18,1.0,1,5913,,,,744,744,744.0,DHHEPMPN_00123,CBBFEIEG_00792,JAGMMPDK_00999,JCGKDLKP_00122,IJJMJDPO_02649,OPLBPFOJ_01806,PAPKKMNH_00920,EEMOKJNN_02396,JPLAHNLF_00122,DHNKKDKB_01225,EONIFOAI_01583,KPCEIPFN_00064,BLLKJOKP_02430,HALBOOGP_01222,POFILHDL_01320,GOKHHJCB_00609,MFFOPBKH_01599,HGPKINJB_01065
group_3021,,hypothetical protein,18,18,1.0,1,5912,,,,342,342,342.0,DHHEPMPN_03727,CBBFEIEG_04048,JAGMMPDK_05125,JCGKDLKP_04268,IJJMJDPO_02979,OPLBPFOJ_03703,PAPKKMNH_03826,EEMOKJNN_04129,JPLAHNLF_04328,DHNKKDKB_05120,EONIFOAI_03860,KPCEIPFN_05482,BLLKJOKP_04065,HALBOOGP_05422,POFILHDL_04152,GOKHHJCB_03711,MFFOPBKH_04758,HGPKINJB_05653
mobA_1,;mobA_1,hypothetical protein;Molybdenum cofactor guanylyltransferase,18,18,1.0,1,5911,,,,591,591,591.0,DHHEPMPN_00005,CBBFEIEG_00675,JAGMMPDK_01117,JCGKDLKP_00005,IJJMJDPO_05436,OPLBPFOJ_05303,PAPKKMNH_05572,EEMOKJNN_02530,JPLAHNLF_00005,DHNKKDKB_01116,EONIFOAI_06057,KPCEIPFN_05344,BLLKJOKP_02544,HALBOOGP_05999,POFILHDL_05352,GOKHHJCB_05366,MFFOPBKH_01708,HGPKINJB_05426
group_3020,,hypothetical protein,18,18,1.0,1,5910,,,,3255,3897,3362.0,DHHEPMPN_00643,CBBFEIEG_02059,JAGMMPDK_01357,JCGKDLKP_01729,IJJMJDPO_01488,OPLBPFOJ_01289,PAPKKMNH_01242,EEMOKJNN_01464,JPLAHNLF_01277,DHNKKDKB_02538,EONIFOAI_00819,KPCEIPFN_00911,BLLKJOKP_01557,HALBOOGP_00952,POFILHDL_02159,GOKHHJCB_00207,MFFOPBKH_02322,HGPKINJB_01465
group_3019,,hypothetical protein,18,18,1.0,1,5909,,,,594,636,596.3333333333334,DHHEPMPN_00905,CBBFEIEG_05036,JAGMMPDK_01873,JCGKDLKP_02693,IJJMJDPO_00658,OPLBPFOJ_00555,PAPKKMNH_03652,EEMOKJNN_01211,JPLAHNLF_01806,DHNKKDKB_00004,EONIFOAI_03332,KPCEIPFN_03227,BLLKJOKP_00620,HALBOOGP_03887,POFILHDL_00004,GOKHHJCB_02572,MFFOPBKH_00620,HGPKINJB_02961
eamA_1~~~eamA_3,eamA_1;eamA_3,putative amino-acid metabolite efflux pump,18,18,1.0,1,5908,,,,897,897,897.0,DHHEPMPN_01004,CBBFEIEG_04014,JAGMMPDK_01972,JCGKDLKP_02792,IJJMJDPO_00756,OPLBPFOJ_00457,PAPKKMNH_01803,EEMOKJNN_01113,JPLAHNLF_01905,DHNKKDKB_00102,EONIFOAI_03430,KPCEIPFN_03129,BLLKJOKP_00521,HALBOOGP_03789,POFILHDL_00102,GOKHHJCB_02474,MFFOPBKH_00522,HGPKINJB_02863
group_3018,,hypothetical protein,18,18,1.0,1,5907,,,,510,573,569.5,DHHEPMPN_04977,CBBFEIEG_05226,JAGMMPDK_05316,JCGKDLKP_05251,IJJMJDPO_05043,OPLBPFOJ_05038,PAPKKMNH_04537,EEMOKJNN_04871,JPLAHNLF_05255,DHNKKDKB_04036,EONIFOAI_05579,KPCEIPFN_05549,BLLKJOKP_04224,HALBOOGP_05187,POFILHDL_02404,GOKHHJCB_05582,MFFOPBKH_04951,HGPKINJB_05317
group_3016,,hypothetical protein,18,18,1.0,1,5905,,,,711,711,711.0,DHHEPMPN_03817,CBBFEIEG_04138,JAGMMPDK_04478,JCGKDLKP_04178,IJJMJDPO_05620,OPLBPFOJ_03793,PAPKKMNH_04876,EEMOKJNN_04219,JPLAHNLF_04894,DHNKKDKB_04923,EONIFOAI_03952,KPCEIPFN_05250,BLLKJOKP_05334,HALBOOGP_06111,POFILHDL_04061,GOKHHJCB_03803,MFFOPBKH_04564,HGPKINJB_05525
hyuC_2~~~hyuC_1,;hyuC_2;hyuC_1,hypothetical protein;N-carbamoyl-L-amino-acid hydrolase,18,19,1.0555555555555556,1,5902,,,,216,1269,1158.9473684210527,DHHEPMPN_02194,CBBFEIEG_03260,JAGMMPDK_03932,JCGKDLKP_03082,IJJMJDPO_01078,OPLBPFOJ_00136,PAPKKMNH_03625,EEMOKJNN_00791,JPLAHNLF_04025;JPLAHNLF_04416,DHNKKDKB_00440,EONIFOAI_01915,KPCEIPFN_02083,BLLKJOKP_00157,HALBOOGP_01869,POFILHDL_00440,GOKHHJCB_01945,MFFOPBKH_00185,HGPKINJB_02987
fbp_1,;fbp_1,hypothetical protein;FK506-binding protein,18,18,1.0,1,5901,,,,141,345,278.0,DHHEPMPN_04165,CBBFEIEG_04258,JAGMMPDK_03641,JCGKDLKP_03777,IJJMJDPO_03381,OPLBPFOJ_04389,PAPKKMNH_02519,EEMOKJNN_04000,JPLAHNLF_03771,DHNKKDKB_03084,EONIFOAI_02483,KPCEIPFN_03861,BLLKJOKP_04358,HALBOOGP_03617,POFILHDL_03607,GOKHHJCB_02936,MFFOPBKH_03328,HGPKINJB_02690
group_3011,,hypothetical protein,18,19,1.0555555555555556,1,5898,,,,969,4635,4261.421052631579,DHHEPMPN_05592,CBBFEIEG_03087,JAGMMPDK_05907,JCGKDLKP_05894,IJJMJDPO_04268;IJJMJDPO_05594,OPLBPFOJ_03906,PAPKKMNH_04060,EEMOKJNN_04473,JPLAHNLF_05899,DHNKKDKB_05320,EONIFOAI_03212,KPCEIPFN_04341,BLLKJOKP_04579,HALBOOGP_04336,POFILHDL_04018,GOKHHJCB_03420,MFFOPBKH_03197,HGPKINJB_04272
cspA_1~~~cspA_2,cspA_1;cspA_2,Cold shock-like protein CspA,18,18,1.0,1,5897,,,,204,204,204.0,DHHEPMPN_00388,CBBFEIEG_01057,JAGMMPDK_00732,JCGKDLKP_00389,IJJMJDPO_02854,OPLBPFOJ_01601,PAPKKMNH_00655,EEMOKJNN_02191,JPLAHNLF_00389,DHNKKDKB_01431,EONIFOAI_01378,KPCEIPFN_00270,BLLKJOKP_01830,HALBOOGP_01428,POFILHDL_01526,GOKHHJCB_00814,MFFOPBKH_01393,HGPKINJB_00860
adh_1,adh_1,Alcohol dehydrogenase,18,18,1.0,1,5896,,,,678,1074,898.0,DHHEPMPN_00769,CBBFEIEG_01933,JAGMMPDK_01231,JCGKDLKP_01855,IJJMJDPO_01318,OPLBPFOJ_01459,PAPKKMNH_01116,EEMOKJNN_01634,JPLAHNLF_01151,DHNKKDKB_02426,EONIFOAI_00712,KPCEIPFN_01018,BLLKJOKP_01381,HALBOOGP_01059,POFILHDL_02271,GOKHHJCB_00100,MFFOPBKH_02210,HGPKINJB_01572
group_3008,,hypothetical protein;L-lactate transporter,18,18,1.0,1,5893,,,,459,1209,959.0,DHHEPMPN_00330,CBBFEIEG_00999,JAGMMPDK_00790,JCGKDLKP_00331,IJJMJDPO_02796,OPLBPFOJ_01659,PAPKKMNH_00713,EEMOKJNN_02249,JPLAHNLF_00331,DHNKKDKB_01373,EONIFOAI_01436,KPCEIPFN_00212,BLLKJOKP_01772,HALBOOGP_01370,POFILHDL_01468,GOKHHJCB_00756,MFFOPBKH_01451,HGPKINJB_00918
argD_2~~~bioA_2,argD_2;bioA_2;,Acetylornithine/succinyldiaminopimelate aminotransferase;Adenosylmethionine-8-amino-7-oxononanoate aminotransferase;putative aminotransferase,18,23,1.2777777777777777,1,5892,,,,531,1320,1022.6086956521739,DHHEPMPN_04174,CBBFEIEG_04249,JAGMMPDK_03632,JCGKDLKP_03786,IJJMJDPO_03390,OPLBPFOJ_04398,PAPKKMNH_02510,EEMOKJNN_04009,JPLAHNLF_03762,DHNKKDKB_03093,EONIFOAI_02492;EONIFOAI_02493,KPCEIPFN_03871;KPCEIPFN_03870,BLLKJOKP_04367,HALBOOGP_03608;HALBOOGP_03607,POFILHDL_03616,GOKHHJCB_02945;GOKHHJCB_02946,MFFOPBKH_03319,HGPKINJB_02681;HGPKINJB_02680
group_3006,,hypothetical protein,18,24,1.3333333333333333,1,5890,,,,162,723,550.5,DHHEPMPN_00227;DHHEPMPN_00228,CBBFEIEG_00896;CBBFEIEG_00897,JAGMMPDK_00895;JAGMMPDK_00894,JCGKDLKP_00226;JCGKDLKP_00227,IJJMJDPO_02752,OPLBPFOJ_01703,PAPKKMNH_00816;PAPKKMNH_00815,EEMOKJNN_02293,JPLAHNLF_00227;JPLAHNLF_00226,DHNKKDKB_01329,EONIFOAI_01480,KPCEIPFN_00168,BLLKJOKP_01728,HALBOOGP_01326,POFILHDL_01424,GOKHHJCB_00712,MFFOPBKH_01495,HGPKINJB_00962
patA_2~~~patA,;patA_2;patA,hypothetical protein;Peptidoglycan O-acetyltransferase,18,27,1.5,1,5888,,,,324,1482,991.0,DHHEPMPN_03475;DHHEPMPN_03474,CBBFEIEG_03407;CBBFEIEG_03406,JAGMMPDK_02851;JAGMMPDK_02852,JCGKDLKP_02143;JCGKDLKP_02142,IJJMJDPO_02396;IJJMJDPO_02395,OPLBPFOJ_02545;OPLBPFOJ_02546,PAPKKMNH_01416;PAPKKMNH_01417,EEMOKJNN_03094;EEMOKJNN_03093,JPLAHNLF_01586;JPLAHNLF_01587,DHNKKDKB_01744,EONIFOAI_02842,KPCEIPFN_02687,BLLKJOKP_02325,HALBOOGP_02821,POFILHDL_01826,GOKHHJCB_03084,MFFOPBKH_01873,HGPKINJB_01733
group_3003,,hypothetical protein,18,18,1.0,1,5886,,,,231,570,381.6666666666667,DHHEPMPN_05584,CBBFEIEG_03095,JAGMMPDK_05852,JCGKDLKP_05832,IJJMJDPO_05601,OPLBPFOJ_03913,PAPKKMNH_05816,EEMOKJNN_04480,JPLAHNLF_05869,DHNKKDKB_05312,EONIFOAI_03205,KPCEIPFN_06184,BLLKJOKP_05604,HALBOOGP_04343,POFILHDL_04026,GOKHHJCB_03413,MFFOPBKH_03205,HGPKINJB_06214
group_3002,,hypothetical protein,18,18,1.0,1,5885,,,,300,333,312.8333333333333,DHHEPMPN_04885,CBBFEIEG_01249,JAGMMPDK_04918,JCGKDLKP_00581,IJJMJDPO_04812,OPLBPFOJ_04663,PAPKKMNH_04708,EEMOKJNN_04954,JPLAHNLF_04825,DHNKKDKB_05599,EONIFOAI_01180,KPCEIPFN_00469,BLLKJOKP_04720,HALBOOGP_01626,POFILHDL_05581,GOKHHJCB_01012,MFFOPBKH_05594,HGPKINJB_00662
group_3000,,hypothetical protein,18,18,1.0,1,5883,,,,258,258,258.0,DHHEPMPN_02965,CBBFEIEG_02966,JAGMMPDK_02706,JCGKDLKP_03569,IJJMJDPO_04745,OPLBPFOJ_04579,PAPKKMNH_02213,EEMOKJNN_04765,JPLAHNLF_03009,DHNKKDKB_03783,EONIFOAI_05429,KPCEIPFN_05401,BLLKJOKP_04821,HALBOOGP_05288,POFILHDL_04491,GOKHHJCB_05375,MFFOPBKH_03072,HGPKINJB_05627
group_2999,,hypothetical protein,18,21,1.1666666666666667,1,5882,,,,1371,3516,3000.0,DHHEPMPN_02582,CBBFEIEG_00361,JAGMMPDK_01849,JCGKDLKP_01473,IJJMJDPO_03900,OPLBPFOJ_03140,PAPKKMNH_03390,EEMOKJNN_01843,JPLAHNLF_04046,DHNKKDKB_03588;DHNKKDKB_03589,EONIFOAI_02997,KPCEIPFN_03706,BLLKJOKP_04148,HALBOOGP_02659,POFILHDL_02660;POFILHDL_02661,GOKHHJCB_02154,MFFOPBKH_04222;MFFOPBKH_04221,HGPKINJB_04265
group_2998,,hypothetical protein,18,18,1.0,1,5881,,,,246,246,246.0,DHHEPMPN_03539,CBBFEIEG_04680,JAGMMPDK_03179,JCGKDLKP_04054,IJJMJDPO_03315,OPLBPFOJ_02747,PAPKKMNH_02839,EEMOKJNN_03934,JPLAHNLF_03312,DHNKKDKB_04215,EONIFOAI_04580,KPCEIPFN_04678,BLLKJOKP_02570,HALBOOGP_04640,POFILHDL_03875,GOKHHJCB_04383,MFFOPBKH_03846,HGPKINJB_03402
group_2997,,hypothetical protein,18,18,1.0,1,5880,,,,240,240,240.0,DHHEPMPN_04433,CBBFEIEG_03780,JAGMMPDK_04345,JCGKDLKP_04441,IJJMJDPO_03050,OPLBPFOJ_03632,PAPKKMNH_02034,EEMOKJNN_03593,JPLAHNLF_03486,DHNKKDKB_03426,EONIFOAI_03595,KPCEIPFN_02849,BLLKJOKP_03353,HALBOOGP_03922,POFILHDL_03278,GOKHHJCB_03641,MFFOPBKH_04277,HGPKINJB_03230
yhdW_3~~~yhdW_2~~~yhdW_1,yhdW_3;yhdW_2;yhdW_1,Putative amino-acid ABC transporter-binding protein YhdW,18,24,1.3333333333333333,1,5879,,,,459,1029,759.0,DHHEPMPN_03977;DHHEPMPN_03976,CBBFEIEG_04452;CBBFEIEG_04453,JAGMMPDK_03837;JAGMMPDK_03836,JCGKDLKP_02267;JCGKDLKP_02268,IJJMJDPO_02260,OPLBPFOJ_02863,PAPKKMNH_02708;PAPKKMNH_02709,EEMOKJNN_02958,JPLAHNLF_01711;JPLAHNLF_01712,DHNKKDKB_01885,EONIFOAI_04637,KPCEIPFN_04544,BLLKJOKP_02075,HALBOOGP_04583,POFILHDL_01966,GOKHHJCB_04274,MFFOPBKH_02013,HGPKINJB_04423
eamA_4,;eamA_4,hypothetical protein;putative amino-acid metabolite efflux pump,18,18,1.0,1,5876,,,,900,900,900.0,DHHEPMPN_05695,CBBFEIEG_03613,JAGMMPDK_03218,JCGKDLKP_04093,IJJMJDPO_05672,OPLBPFOJ_05668,PAPKKMNH_02800,EEMOKJNN_03756,JPLAHNLF_05671,DHNKKDKB_03231,EONIFOAI_04846,KPCEIPFN_03047,BLLKJOKP_05636,HALBOOGP_05572,POFILHDL_03473,GOKHHJCB_04573,MFFOPBKH_03808,HGPKINJB_05750
group_2995,,hypothetical protein,18,18,1.0,1,5875,,,,249,249,249.0,DHHEPMPN_03455,CBBFEIEG_03426,JAGMMPDK_02871,JCGKDLKP_02123,IJJMJDPO_02415,OPLBPFOJ_02526,PAPKKMNH_01436,EEMOKJNN_03113,JPLAHNLF_01567,DHNKKDKB_01725,EONIFOAI_02823,KPCEIPFN_02667,BLLKJOKP_02306,HALBOOGP_02840,POFILHDL_01807,GOKHHJCB_03103,MFFOPBKH_01854,HGPKINJB_01752
group_2994,,hypothetical protein,18,18,1.0,1,5874,,,,822,822,822.0,DHHEPMPN_00573,CBBFEIEG_02129,JAGMMPDK_01427,JCGKDLKP_01659,IJJMJDPO_01556,OPLBPFOJ_01221,PAPKKMNH_01312,EEMOKJNN_01396,JPLAHNLF_01347,DHNKKDKB_02606,EONIFOAI_00949,KPCEIPFN_00781,BLLKJOKP_01625,HALBOOGP_00822,POFILHDL_02091,GOKHHJCB_00337,MFFOPBKH_02390,HGPKINJB_01335
group_2993,,hypothetical protein,18,18,1.0,1,5873,,,,909,909,909.0,DHHEPMPN_01179,CBBFEIEG_03839,JAGMMPDK_02148,JCGKDLKP_02967,IJJMJDPO_00923,OPLBPFOJ_00290,PAPKKMNH_01979,EEMOKJNN_00946,JPLAHNLF_02080,DHNKKDKB_00282,EONIFOAI_01760,KPCEIPFN_02237,BLLKJOKP_00310,HALBOOGP_02024,POFILHDL_00282,GOKHHJCB_02099,MFFOPBKH_00342,HGPKINJB_02056
group_2992,,hypothetical protein,18,18,1.0,1,5872,,,,597,765,737.0,DHHEPMPN_03815,CBBFEIEG_04136,JAGMMPDK_04476,JCGKDLKP_04180,IJJMJDPO_05618,OPLBPFOJ_03791,PAPKKMNH_04878,EEMOKJNN_04217,JPLAHNLF_04892,DHNKKDKB_04921,EONIFOAI_03950,KPCEIPFN_05248,BLLKJOKP_05332,HALBOOGP_06109,POFILHDL_04063,GOKHHJCB_03801,MFFOPBKH_04566,HGPKINJB_05527
dmoA_1,dmoA_1,Dimethyl-sulfide monooxygenase,18,18,1.0,1,5871,,,,1380,1416,1386.0,DHHEPMPN_02329,CBBFEIEG_03124,JAGMMPDK_04148,JCGKDLKP_03218,IJJMJDPO_00943,OPLBPFOJ_00270,PAPKKMNH_03507,EEMOKJNN_00926,JPLAHNLF_03888,DHNKKDKB_00302,EONIFOAI_01780,KPCEIPFN_02217,BLLKJOKP_00290,HALBOOGP_02004,POFILHDL_00302,GOKHHJCB_02079,MFFOPBKH_00322,HGPKINJB_02036
group_2991,,hypothetical protein,18,18,1.0,1,5870,,,,801,942,934.1666666666666,DHHEPMPN_02461,CBBFEIEG_00240,JAGMMPDK_01728,JCGKDLKP_01352,IJJMJDPO_03980,OPLBPFOJ_03021,PAPKKMNH_03270,EEMOKJNN_01961,JPLAHNLF_02329,DHNKKDKB_04817,EONIFOAI_04453,KPCEIPFN_02325,BLLKJOKP_03663,HALBOOGP_03223,POFILHDL_04246,GOKHHJCB_03885,MFFOPBKH_03519,HGPKINJB_06299
group_2990,,hypothetical protein,18,18,1.0,1,5869,,,,3702,3837,3799.5,DHHEPMPN_02318,CBBFEIEG_03135,JAGMMPDK_04137,JCGKDLKP_03207,IJJMJDPO_00954,OPLBPFOJ_00259,PAPKKMNH_03496,EEMOKJNN_00915,JPLAHNLF_03899,DHNKKDKB_00313,EONIFOAI_01791,KPCEIPFN_02206,BLLKJOKP_00279,HALBOOGP_01993,POFILHDL_00313,GOKHHJCB_02068,MFFOPBKH_00311,HGPKINJB_02025
group_2987,,hypothetical protein,18,18,1.0,1,5866,,,,351,351,351.0,DHHEPMPN_00404,CBBFEIEG_01073,JAGMMPDK_00716,JCGKDLKP_00405,IJJMJDPO_02870,OPLBPFOJ_01585,PAPKKMNH_00639,EEMOKJNN_02175,JPLAHNLF_00405,DHNKKDKB_01447,EONIFOAI_01362,KPCEIPFN_00286,BLLKJOKP_01846,HALBOOGP_01444,POFILHDL_01542,GOKHHJCB_00830,MFFOPBKH_01377,HGPKINJB_00844
group_2986,,hypothetical protein,18,18,1.0,1,5865,,,,258,315,311.8333333333333,DHHEPMPN_05699,CBBFEIEG_03609,JAGMMPDK_03214,JCGKDLKP_04089,IJJMJDPO_05668,OPLBPFOJ_05672,PAPKKMNH_02804,EEMOKJNN_03760,JPLAHNLF_05675,DHNKKDKB_03227,EONIFOAI_04842,KPCEIPFN_03051,BLLKJOKP_05632,HALBOOGP_05568,POFILHDL_03477,GOKHHJCB_04577,MFFOPBKH_03812,HGPKINJB_05746
thiO,thiO,Glycine oxidase,18,18,1.0,1,5864,,,,1110,1173,1132.235294117647,DHHEPMPN_04493,CBBFEIEG_00112,JAGMMPDK_01600,JCGKDLKP_01224,IJJMJDPO_04164,OPLBPFOJ_04042,PAPKKMNH_03857,EEMOKJNN_02041,JPLAHNLF_02201,DHNKKDKB_05199,EONIFOAI_04238,KPCEIPFN_02405,BLLKJOKP_04493,HALBOOGP_03145,POFILHDL_04988,15_refound_176,MFFOPBKH_04865,HGPKINJB_03613
aaeA_1,aaeA_1,p-hydroxybenzoic acid efflux pump subunit AaeA,18,18,1.0,1,5863,,,,861,861,861.0,DHHEPMPN_02574,CBBFEIEG_00353,JAGMMPDK_01841,JCGKDLKP_01465,IJJMJDPO_03906,OPLBPFOJ_03134,PAPKKMNH_03382,EEMOKJNN_01849,JPLAHNLF_04038,DHNKKDKB_03582,EONIFOAI_03003,KPCEIPFN_03712,BLLKJOKP_04154,HALBOOGP_02665,POFILHDL_05108,GOKHHJCB_02148,MFFOPBKH_05628,HGPKINJB_06262
fabG_5~~~fabG_8,;fabG_5;fabG_8,hypothetical protein;3-oxoacyl-[acyl-carrier-protein] reductase FabG,18,21,1.1666666666666667,1,5862,,,,333,798,683.5714285714286,DHHEPMPN_04962,CBBFEIEG_05211,JAGMMPDK_05301,JCGKDLKP_05266,IJJMJDPO_05026,OPLBPFOJ_05021,PAPKKMNH_04522,EEMOKJNN_04854,JPLAHNLF_05270,DHNKKDKB_04054;DHNKKDKB_04053,EONIFOAI_05562,KPCEIPFN_05532,BLLKJOKP_04241,HALBOOGP_05170,POFILHDL_02387;POFILHDL_02386,GOKHHJCB_05565,MFFOPBKH_04934;MFFOPBKH_04933,HGPKINJB_05334
group_2984,,hypothetical protein,18,18,1.0,1,5860,,,,351,492,484.1666666666667,DHHEPMPN_04704,CBBFEIEG_00571,JAGMMPDK_03334,JCGKDLKP_04794,IJJMJDPO_05715,OPLBPFOJ_05737,PAPKKMNH_03036,EEMOKJNN_05703,JPLAHNLF_03637,DHNKKDKB_03213,EONIFOAI_02616,KPCEIPFN_04979,BLLKJOKP_03746,HALBOOGP_04967,POFILHDL_05539,GOKHHJCB_06213,MFFOPBKH_05531,HGPKINJB_04898
group_2983,,hypothetical protein,18,18,1.0,1,5859,,,,708,708,708.0,DHHEPMPN_04496,CBBFEIEG_00109,JAGMMPDK_01597,JCGKDLKP_01221,IJJMJDPO_04161,OPLBPFOJ_04039,PAPKKMNH_03860,EEMOKJNN_02044,JPLAHNLF_02198,DHNKKDKB_05196,EONIFOAI_04241,KPCEIPFN_02408,BLLKJOKP_04490,HALBOOGP_03142,POFILHDL_04985,GOKHHJCB_04104,MFFOPBKH_04868,HGPKINJB_03616
group_2982,,hypothetical protein,18,18,1.0,1,5858,,,,783,819,817.0,DHHEPMPN_03320,CBBFEIEG_03561,JAGMMPDK_03006,JCGKDLKP_01989,IJJMJDPO_05758,OPLBPFOJ_05362,PAPKKMNH_01571,EEMOKJNN_05757,JPLAHNLF_01433,DHNKKDKB_01591,EONIFOAI_06199,KPCEIPFN_06056,BLLKJOKP_02172,HALBOOGP_02975,POFILHDL_05629,GOKHHJCB_03238,MFFOPBKH_01720,HGPKINJB_01888
group_2981,,hypothetical protein,18,18,1.0,1,5857,,,,303,303,303.0,DHHEPMPN_01245,CBBFEIEG_02586,JAGMMPDK_02426,JCGKDLKP_03289,IJJMJDPO_04470,OPLBPFOJ_02138,PAPKKMNH_01764,EEMOKJNN_03483,JPLAHNLF_02738,DHNKKDKB_02705,EONIFOAI_04032,KPCEIPFN_03975,BLLKJOKP_02961,HALBOOGP_03449,POFILHDL_02928,GOKHHJCB_03305,MFFOPBKH_02691,HGPKINJB_02439
group_2980,,hypothetical protein,18,18,1.0,1,5856,,,,450,450,450.0,DHHEPMPN_05192,CBBFEIEG_05325,JAGMMPDK_05697,JCGKDLKP_05330,IJJMJDPO_01718,OPLBPFOJ_05441,PAPKKMNH_05374,EEMOKJNN_01235,JPLAHNLF_05041,DHNKKDKB_04963,EONIFOAI_01107,KPCEIPFN_00623,BLLKJOKP_04772,HALBOOGP_00664,POFILHDL_04633,GOKHHJCB_00495,MFFOPBKH_04360,HGPKINJB_01178
group_2979,,hypothetical protein,18,18,1.0,1,5855,,,,741,741,741.0,DHHEPMPN_04892,CBBFEIEG_01242,JAGMMPDK_04911,JCGKDLKP_00574,IJJMJDPO_04806,OPLBPFOJ_04669,PAPKKMNH_04701,EEMOKJNN_04948,JPLAHNLF_04832,DHNKKDKB_05367,EONIFOAI_01188,KPCEIPFN_00461,BLLKJOKP_04714,HALBOOGP_01618,POFILHDL_05300,GOKHHJCB_01004,MFFOPBKH_05307,HGPKINJB_00670
ybeZ,ybeZ,PhoH-like protein,18,18,1.0,1,5854,,,,1002,1182,1104.5,DHHEPMPN_01355,CBBFEIEG_02696,JAGMMPDK_02536,JCGKDLKP_03399,IJJMJDPO_03504,OPLBPFOJ_02048,PAPKKMNH_01654,EEMOKJNN_03393,JPLAHNLF_02848,DHNKKDKB_02815,EONIFOAI_05063,KPCEIPFN_05460,BLLKJOKP_03174,HALBOOGP_03360,POFILHDL_02818,GOKHHJCB_05554,MFFOPBKH_02581,HGPKINJB_02528
group_2978,,hypothetical protein,18,18,1.0,1,5853,,,,585,585,585.0,DHHEPMPN_00571,CBBFEIEG_02131,JAGMMPDK_01429,JCGKDLKP_01657,IJJMJDPO_01558,OPLBPFOJ_01219,PAPKKMNH_01314,EEMOKJNN_01394,JPLAHNLF_01349,DHNKKDKB_02608,EONIFOAI_00951,KPCEIPFN_00779,BLLKJOKP_01627,HALBOOGP_00820,POFILHDL_02089,GOKHHJCB_00339,MFFOPBKH_02392,HGPKINJB_01333
xanP_1,xanP_1,Xanthine permease XanP,18,18,1.0,1,5852,,,,1428,1518,1478.0,DHHEPMPN_00913,CBBFEIEG_05028,JAGMMPDK_01881,JCGKDLKP_02701,IJJMJDPO_00666,OPLBPFOJ_00547,PAPKKMNH_03660,EEMOKJNN_01203,JPLAHNLF_01814,DHNKKDKB_00012,EONIFOAI_03340,KPCEIPFN_03219,BLLKJOKP_00612,HALBOOGP_03879,POFILHDL_00012,GOKHHJCB_02564,MFFOPBKH_00612,HGPKINJB_02953
