Isolate	subject_id	query_id	perc_identity	align_len	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score	Hit	FullTaxonomy	Pond	mean	sd	se	Inhibition_Flag
CP20G1	NC_030940.1	NODE_9_length_258624_cov_21.420028||0_partial	73.223	1505	328	62	6873	8344	14847	16309	4.57E-131	477	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	89.63413233	1.288366083	0.743838505	Strongly Inhibitory
CP20G1	NC_030940.1	NODE_9_length_258624_cov_21.420028||0_partial	72.06	2015	488	64	9871	11861	17849	19812	9.61E-148	532	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	89.63413233	1.288366083	0.743838505	Strongly Inhibitory
CP10A	NC_030940.1	NODE_9_length_258639_cov_20.295337||0_partial	73.223	1505	328	62	23948	25419	16309	14847	7.67E-131	477	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	94.60771274	2.451171814	1.415184706	Strongly Inhibitory
CP10A	NC_030940.1	NODE_9_length_258639_cov_20.295337||0_partial	72.06	2015	488	64	20431	22421	19812	17849	1.61E-147	532	Pseudomonas phage phi3, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Phitrevirus; Phitrevirus phi3.	Conness Pond	94.60771274	2.451171814	1.415184706	Strongly Inhibitory
CP17D	NC_055793.1	NODE_40_length_41112_cov_16.482637||full	80.645	341	60	5	23806	24143	9171	8834	1.56E-65	259	Pseudomonas phage vB_Pae_BR319a, partial genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Citexvirus; Citexvirus BR319A.	Conness Pond	46.26267204	5.270897567	3.043154129	Weakly Inhibitory
CP17D	NC_055793.1	NODE_40_length_41112_cov_16.482637||full	75.588	3404	730	83	28519	31867	4792	1435	0	1589	Pseudomonas phage vB_Pae_BR319a, partial genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Peduoviridae;Citexvirus; Citexvirus BR319A.	Conness Pond	46.26267204	5.270897567	3.043154129	Weakly Inhibitory
CP3F2	NC_070881.1	NODE_1_length_561412_cov_19.190754||1_partial	84.977	852	123	3	2405	3252	37433	36583	0	859	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP3F2	NC_070881.1	NODE_1_length_561412_cov_19.190754||1_partial	92.537	67	4	1	13858	13923	27435	27369	3.85E-16	95.3	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP3F2	NC_070881.1	NODE_1_length_561412_cov_19.190754||1_partial	81.481	189	30	4	12780	12964	27847	27660	8.09E-33	150	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
629A2A	NC_070881.1	NODE_1_length_695688_cov_24.469642||0_partial	82.331	266	43	3	13410	13674	35494	35756	8.35E-56	228	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	91.95590278	2.474888217	1.428877378	Strongly Inhibitory
629A2A	NC_070881.1	NODE_1_length_695688_cov_24.469642||0_partial	100	33	0	0	17027	17059	40285	40317	8.96E-06	62.1	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	91.95590278	2.474888217	1.428877378	Strongly Inhibitory
629A2A	NC_070881.1	NODE_1_length_695688_cov_24.469642||0_partial	85.366	1271	180	6	17062	18329	40827	42094	0	1312	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	91.95590278	2.474888217	1.428877378	Strongly Inhibitory
CP13A	NC_070881.1	NODE_2_length_561798_cov_21.101096||1_partial	84.977	852	123	3	2405	3252	37433	36583	0	859	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP13A	NC_070881.1	NODE_2_length_561798_cov_21.101096||1_partial	92.537	67	4	1	13858	13923	27435	27369	3.85E-16	95.3	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP13A	NC_070881.1	NODE_2_length_561798_cov_21.101096||1_partial	81.481	189	30	4	12780	12964	27847	27660	8.09E-33	150	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
638A1	NC_070881.1	NODE_22_length_94856_cov_16.493917||full	100	33	0	0	67103	67135	40317	40285	1.04E-05	62.1	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
638A1	NC_070881.1	NODE_22_length_94856_cov_16.493917||full	85.366	1271	180	6	65833	67100	42094	40827	0	1312	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
638A1	NC_070881.1	NODE_22_length_94856_cov_16.493917||full	82.331	266	43	3	70488	70752	35756	35494	9.73E-56	228	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
629A2A	NC_070881.1	NODE_24_length_69351_cov_26.497589||full	98.214	168	3	0	66032	66199	33562	33395	7.23E-76	294	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	91.95590278	2.474888217	1.428877378	Strongly Inhibitory
630A	NC_070881.1	NODE_25_length_69351_cov_22.819673||full	98.214	168	3	0	66032	66199	33562	33395	7.23E-76	294	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
631B	NC_070881.1	NODE_25_length_69351_cov_25.021249||full	98.214	168	3	0	66032	66199	33562	33395	7.23E-76	294	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.9966996	2.756638491	1.591545975	Weakly Inhibitory
643E	NC_070881.1	NODE_26_length_69351_cov_25.555706||full	98.214	168	3	0	3117	3284	33395	33562	7.23E-76	294	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
623B	NC_070881.1	NODE_28_length_69351_cov_28.979978||full	98.214	168	3	0	66032	66199	33562	33395	7.23E-76	294	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	94.71192104	3.310633575	1.911395186	Strongly Inhibitory
631B	NC_070881.1	NODE_3_length_502287_cov_24.765124||0_partial	82.331	266	43	3	13410	13674	35494	35756	8.35E-56	228	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.9966996	2.756638491	1.591545975	Weakly Inhibitory
631B	NC_070881.1	NODE_3_length_502287_cov_24.765124||0_partial	85.366	1271	180	6	17062	18329	40827	42094	0	1312	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.9966996	2.756638491	1.591545975	Weakly Inhibitory
631B	NC_070881.1	NODE_3_length_502287_cov_24.765124||0_partial	100	33	0	0	17027	17059	40285	40317	8.96E-06	62.1	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.9966996	2.756638491	1.591545975	Weakly Inhibitory
638A1	NC_070881.1	NODE_34_length_71091_cov_17.688484||full	98.214	168	3	0	3117	3284	33395	33562	7.41E-76	294	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
630A	NC_070881.1	NODE_4_length_386586_cov_21.603489||0_partial	85.366	1271	180	6	17062	18329	40827	42094	0	1312	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
630A	NC_070881.1	NODE_4_length_386586_cov_21.603489||0_partial	82.331	266	43	3	13410	13674	35494	35756	8.35E-56	228	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
630A	NC_070881.1	NODE_4_length_386586_cov_21.603489||0_partial	100	33	0	0	17027	17059	40285	40317	8.96E-06	62.1	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
643E	NC_070881.1	NODE_6_length_337179_cov_25.190334||0_partial	82.331	266	43	3	13410	13674	35494	35756	8.34E-56	228	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
643E	NC_070881.1	NODE_6_length_337179_cov_25.190334||0_partial	100	33	0	0	17027	17059	40285	40317	8.95E-06	62.1	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
643E	NC_070881.1	NODE_6_length_337179_cov_25.190334||0_partial	85.366	1271	180	6	17062	18329	40827	42094	0	1312	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
623B	NC_070881.1	NODE_8_length_269428_cov_27.319576||0_partial	85.366	1271	180	6	16344	17611	40827	42094	0	1312	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	94.71192104	3.310633575	1.911395186	Strongly Inhibitory
623B	NC_070881.1	NODE_8_length_269428_cov_27.319576||0_partial	82.331	266	43	3	12692	12956	35494	35756	7.00E-56	228	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	94.71192104	3.310633575	1.911395186	Strongly Inhibitory
623B	NC_070881.1	NODE_8_length_269428_cov_27.319576||0_partial	100	33	0	0	16309	16341	40285	40317	7.52E-06	62.1	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	94.71192104	3.310633575	1.911395186	Strongly Inhibitory
629A2A	NC_074658.1	NODE_31_length_30915_cov_24.454245||full	79.187	6842	1291	114	6906	13688	20502	27269	0	4623	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	91.95590278	2.474888217	1.428877378	Strongly Inhibitory
631B	NC_074658.1	NODE_32_length_30915_cov_23.682405||full	79.187	6842	1291	114	6906	13688	20502	27269	0	4623	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.9966996	2.756638491	1.591545975	Weakly Inhibitory
643E	NC_074658.1	NODE_37_length_30915_cov_24.199948||full	79.187	6842	1291	114	6906	13688	20502	27269	0	4623	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
623B	NC_074658.1	NODE_37_length_30915_cov_27.972664||full	79.187	6842	1291	114	6906	13688	20502	27269	0	4623	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	94.71192104	3.310633575	1.911395186	Strongly Inhibitory
630A	NC_074658.1	NODE_38_length_30915_cov_20.852974||full	79.187	6842	1291	114	6906	13688	20502	27269	0	4623	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
638A1	NC_074658.1	NODE_48_length_30915_cov_15.818017||full	79.187	6842	1291	114	6906	13688	20502	27269	0	4623	Pseudomonas phage UFJF_PfDIW6, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Purivirus; Purivirus UFJFPfDIW6.	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
CP3F2	NC_074659.1	NODE_1_length_561412_cov_19.190754||0_partial	88.43	847	98	0	147512	148358	36058	35212	0	1022	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP3F2	NC_074659.1	NODE_1_length_561412_cov_19.190754||0_partial	88.298	4871	562	7	150466	155332	32613	27747	0	5830	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP3F2	NC_074659.1	NODE_1_length_561412_cov_19.190754||0_partial	83.707	1025	153	10	146213	147230	37134	36117	0	955	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP3F2	NC_074659.1	NODE_1_length_561412_cov_19.190754||0_partial	86.686	1735	225	5	148701	150432	34867	33136	0	1919	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP3F2	NC_074659.1	NODE_1_length_561412_cov_19.190754||0_partial	75.615	2481	551	43	134023	136476	50349	47896	0	1181	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
629A2A	NC_074659.1	NODE_11_length_214970_cov_24.420181||0_partial	100	29	0	0	4802	4830	5968	5996	0.000256	54.7	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	91.95590278	2.474888217	1.428877378	Strongly Inhibitory
CP6A	NC_074659.1	NODE_13_length_179333_cov_21.965703||0_partial	88.482	191	22	0	10291	10481	14194	14004	2.26E-57	231	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
CP6A	NC_074659.1	NODE_13_length_179333_cov_21.965703||0_partial	89.529	191	20	0	10291	10481	47113	47303	1.05E-60	243	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	49.53530633	3.401620362	1.963926432	Weakly Inhibitory
630A	NC_074659.1	NODE_15_length_144956_cov_21.118837||0_partial	86.131	2466	325	15	12891	15348	50352	47896	0	2643	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
630A	NC_074659.1	NODE_15_length_144956_cov_21.118837||0_partial	86.84	1079	141	1	15373	16450	47307	46229	0	1205	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
630A	NC_074659.1	NODE_15_length_144956_cov_21.118837||0_partial	78.024	496	91	12	15373	15865	14000	14480	5.24E-77	296	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	50.30688748	3.150323232	1.286114074	Strongly Inhibitory
CP3F2	NC_074659.1	NODE_17_length_129541_cov_18.878267||0_partial	89.529	191	20	0	11857	12047	47113	47303	1.11E-60	243	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
CP3F2	NC_074659.1	NODE_17_length_129541_cov_18.878267||0_partial	88.482	191	22	0	11857	12047	14194	14004	2.39E-57	231	Pseudomonas phage phiPSA1, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Readingvirus;Readingvirus PSA1.	Conness Pond	72.81196943	4.329061913	2.499385061	Strongly Inhibitory
638A1	NC_074659.1	NODE_17_length_143685_cov_16.294329||0_partial	86.84	1079	141	1	1632	2709	46229	47307	0	1205	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
638A1	NC_074659.1	NODE_17_length_143685_cov_16.294329||0_partial	78.024	496	91	12	2217	2709	14480	14000	8.81E-77	296	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
638A1	NC_074659.1	NODE_17_length_143685_cov_16.294329||0_partial	86.131	2466	325	15	2734	5191	47896	50352	0	2643	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	44.29228693	1.434089816	0.827972141	Weakly Inhibitory
643E	NC_074659.1	NODE_18_length_119266_cov_24.188432||0_partial	86.131	2466	325	15	15691	18148	50352	47896	0	2643	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
643E	NC_074659.1	NODE_18_length_119266_cov_24.188432||0_partial	78.024	496	91	12	18173	18665	14000	14480	6.05E-77	296	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
643E	NC_074659.1	NODE_18_length_119266_cov_24.188432||0_partial	86.84	1079	141	1	18173	19250	47307	46229	0	1205	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	93.45832143	1.523062762	0.879340696	Strongly Inhibitory
CP13A	NC_074659.1	NODE_18_length_136058_cov_21.377060||0_partial	88.482	191	22	0	10291	10481	14194	14004	2.26E-57	231	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
CP13A	NC_074659.1	NODE_18_length_136058_cov_21.377060||0_partial	89.529	191	20	0	10291	10481	47113	47303	1.05E-60	243	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	45.78977961	4.267035466	2.463574075	Weakly Inhibitory
623B	NC_074659.1	NODE_2_length_426816_cov_27.271306||0_partial	81.925	3242	554	30	4428	7653	47895	51120	0	2712	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Sixty Lake	94.71192104	3.310633575	1.911395186	Strongly Inhibitory
CP19F2	NC_074659.1	NODE_2_length_561142_cov_23.083689||1_partial	88.43	847	98	0	29923	30769	35212	36058	0	1022	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP19F2	NC_074659.1	NODE_2_length_561142_cov_23.083689||1_partial	88.298	4871	562	7	22949	27815	27747	32613	0	5830	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP19F2	NC_074659.1	NODE_2_length_561142_cov_23.083689||1_partial	86.686	1735	225	5	27849	29580	33136	34867	0	1919	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
CP19F2	NC_074659.1	NODE_2_length_561142_cov_23.083689||1_partial	75.615	2481	551	43	41805	44258	47896	50349	0	1181	Pseudomonas phage phiAH14a, complete genome	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota;Caudoviricetes; Caudoviricetes incertae sedis; Miecznikowavirus;Miecznikowavirus AH14a.	Conness Pond	70.24061686	2.194179608	1.266810187	Strongly Inhibitory
