qseqid	sseqid	uniprot_acc	stitle	pident	length	evalue	bitscore	kegg_gene_id	pathway_id	pathway_name
exoA	sp|O26314.1|	O26314	RecName: Full=DNA uridine endonuclease; Short=DNA U-endo; Short=DNA U-endonuclease; AltName: Full=AP endonuclease; AltName: Full=ExoMt [Methanothermobacter thermautotrophicus str. Delta H]	31.727	249	1.28e-45	156	NA	NA	NA
exuT_1	sp|P0AA78.2|	P0AA78	RecName: Full=Hexuronate transporter; AltName: Full=Aldohexuronate transport system; Flags: Precursor [Escherichia coli K-12]	30.077	389	5.23e-41	154	NA	NA	NA
exuT_2	sp|P94774.1|	P94774	RecName: Full=Galacturonate transporter; Flags: Precursor [Dickeya chrysanthemi]	30.449	312	6.56e-39	147	NA	NA	NA
exuT_3	sp|O34456.1|	O34456	RecName: Full=Hexuronate transporter; AltName: Full=Aldohexuronate transport system [Bacillus subtilis subsp. subtilis str. 168]	30.738	244	2.09e-16	84.3	NA	NA	NA
fabA	sp|Q4KFX0.1|	Q4KFX0	RecName: Full=3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase; AltName: Full=3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA; AltName: Full=Beta-hydroxydecanoyl thioester dehydrase; AltName: Full=Trans-2-decenoyl-[acyl-carrier-protein] isomerase [Pseudomonas protegens Pf-5]	98.246	171	1.4399999999999999e-124	350	NA	NA	NA
fabB	sp|Q02K94.1|	Q02K94	RecName: Full=3-oxoacyl-[acyl-carrier-protein] synthase 1; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase I; AltName: Full=Beta-ketoacyl-ACP synthase I; Short=KAS I [Pseudomonas aeruginosa UCBPP-PA14]	88.395	405	0	691	NA	NA	NA
fabD_1	sp|P43712.1|	P43712	RecName: Full=Malonyl CoA-acyl carrier protein transacylase; Short=MCT [Haemophilus influenzae Rd KW20]	38.462	286	4.04e-35	132	NA	NA	NA
fabD_2	sp|O85140.3|	O85140	RecName: Full=Malonyl CoA-acyl carrier protein transacylase; Short=MCT [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	62.876	299	8.16e-127	367	NA	NA	NA
fabF_1	sp|O34340.1|	O34340	RecName: Full=3-oxoacyl-[acyl-carrier-protein] synthase 2; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase II; AltName: Full=Beta-ketoacyl-ACP synthase II; Short=KAS II [Bacillus subtilis subsp. subtilis str. 168]	38.499	413	1.67e-69	228	NA	NA	NA
fabF_2	sp|P55338.2|	P55338	RecName: Full=3-oxoacyl-[acyl-carrier-protein] synthase 2; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase II; AltName: Full=Beta-ketoacyl-ACP synthase II; Short=KAS II [Vibrio harveyi]	64.096	415	0	523	NA	NA	NA
fabG_1	sp|Q49117.2|	Q49117	RecName: Full=Uncharacterized oxidoreductase MexAM1_META1p0182; AltName: Full=ORFC [Methylorubrum extorquens AM1]	37.247	247	3.2999999999999997e-41	144	NA	NA	NA
fabG_2	sp|P70720.1|	P70720	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase [Aggregatibacter actinomycetemcomitans]	77.686	242	6.199999999999999e-126	359	NA	NA	NA
fabG_3	sp|O67610.1|	O67610	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase [Aquifex aeolicus VF5]	41.667	180	3.4699999999999996e-42	147	NA	NA	NA
fabG_4	sp|Q8N4T8.3|	Q8N4T8	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	5.42e-13	70.1	NA	NA	NA
fabG_5	sp|Q9KQH7.2|	Q9KQH7	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase [Vibrio cholerae O1 biovar El Tor str. N16961]	41.6	250	1.15e-45	156	NA	NA	NA
fabG_6	sp|O54438.1|	O54438	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase [Pseudomonas aeruginosa PAO1]	86.235	247	3.739999999999999e-152	426	NA	NA	NA
fabG_7	sp|Q9GKX2.1|	Q9GKX2	RecName: Full=Dehydrogenase/reductase SDR family member 4; AltName: Full=NADPH-dependent carbonyl reductase; Short=CR; Short=RACR; AltName: Full=NADPH-dependent retinol dehydrogenase/reductase; Short=NDRD; AltName: Full=Peroxisomal short-chain alcohol dehydrogenase; Short=PSCD; AltName: Full=Short chain dehydrogenase/reductase family 25C member 2; Short=Protein SDR25C2; AltName: Full=rabNRDR [Oryctolagus cuniculus]	38.525	244	1.34e-41	146	NA	NA	NA
fabH	sp|Q9CHG0.1|	Q9CHG0	RecName: Full=Beta-ketoacyl-[acyl-carrier-protein] synthase III; Short=Beta-ketoacyl-ACP synthase III; Short=KAS III; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase 3; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase III [Lactococcus lactis subsp. lactis Il1403]	30.982	326	4.7e-44	156	NA	NA	NA
fabR	sp|A6TGE7.1|	A6TGE7	RecName: Full=HTH-type transcriptional repressor FabR [Klebsiella pneumoniae subsp. pneumoniae MGH 78578]	40.972	144	1.04e-26	104	NA	NA	NA
fabV	sp|C3K5J5.1|	C3K5J5	RecName: Full=Enoyl-[acyl-carrier-protein] reductase [NADH]; Short=ENR [Pseudomonas [fluorescens] SBW25]	97.733	397	0	764	NA	NA	NA
fabZ	sp|C3K606.1|	C3K606	RecName: Full=3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ; AltName: Full=(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase; Short=(3R)-hydroxymyristoyl-ACP dehydrase; AltName: Full=Beta-hydroxyacyl-ACP dehydratase [Pseudomonas [fluorescens] SBW25]	100	146	7.939999999999998e-107	303	NA	NA	NA
fadA_1	sp|O53871.1|	O53871	RecName: Full=Putative acyltransferase Rv0859 [Mycobacterium tuberculosis H37Rv]	65.586	401	0	523	NA	NA	NA
fadA_2	sp|O32177.1|	O32177	RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Beta-ketothiolase [Bacillus subtilis subsp. subtilis str. 168]	48.101	395	4.75e-113	338	NA	NA	NA
fadA_3	sp|Q4KFC3.1|	Q4KFC3	RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Beta-ketothiolase; AltName: Full=Fatty acid oxidation complex subunit beta [Pseudomonas protegens Pf-5]	95.908	391	0	755	NA	NA	NA
fadA_4	sp|O26884.1|	O26884	RecName: Full=Acetyl-CoA acetyltransferase; AltName: Full=Acetoacetyl-CoA thiolase [Methanothermobacter thermautotrophicus str. Delta H]	36.631	374	1.34e-71	232	NA	NA	NA
fadB	sp|C3K613.1|	C3K613	RecName: Full=Fatty acid oxidation complex subunit alpha; Includes: RecName: Full=Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase; Includes: RecName: Full=3-hydroxyacyl-CoA dehydrogenase [Pseudomonas [fluorescens] SBW25]	99.301	715	0	1409	NA	NA	NA
fadD3	sp|O31826.1|	O31826	RecName: Full=Putative acyl-CoA synthetase YngI [Bacillus subtilis subsp. subtilis str. 168]	46.568	539	3.839999999999999e-176	511	NA	NA	NA
fadD_1	sp|Q8XDR6.1|	Q8XDR6	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase; Short=Acyl-CoA synthetase [Escherichia coli O157:H7]	55.37	540	0	624	NA	NA	NA
fadD_2	sp|P63521.1|	P63521	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	51.167	557	0	588	NA	NA	NA
fadD_3	sp|Q8XDR6.1|	Q8XDR6	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase; Short=Acyl-CoA synthetase [Escherichia coli O157:H7]	53.214	560	0	574	NA	NA	NA
fadD_4	sp|P69451.1|	P69451	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase; Short=Acyl-CoA synthetase [Escherichia coli K-12]	52.057	559	0	595	NA	NA	NA
fadD_5	sp|P63521.1|	P63521	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	49.58	119	5.5e-37	134	NA	NA	NA
fadD_6	sp|P63521.1|	P63521	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	59.42	138	9.12e-51	172	NA	NA	NA
fadE_1	sp|Q8ZBY6.1|	Q8ZBY6	RecName: Full=Acyl-coenzyme A dehydrogenase; Short=ACDH; Short=Acyl-CoA dehydrogenase [Yersinia pestis]	51.544	745	0	762	NA	NA	NA
fadE_2	sp|Q47146.2|	Q47146	RecName: Full=Acyl-coenzyme A dehydrogenase; Short=ACDH; Short=Acyl-CoA dehydrogenase [Escherichia coli K-12]	54.374	743	0	788	NA	NA	NA
fadH	sp|P42593.3|	P42593	RecName: Full=2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]; Short=DCR; AltName: Full=2,4-dienoyl-coenzyme A reductase [NADPH] [Escherichia coli K-12]	63.476	679	0	790	NA	NA	NA
fadI_1	sp|A1RI91.1|	A1RI91	RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=ACSs; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Acyl-CoA ligase; AltName: Full=Beta-ketothiolase; AltName: Full=Fatty acid oxidation complex subunit beta [Shewanella sp. W3-18-1]	39.765	425	6.42e-95	295	NA	NA	NA
fadI_2	sp|Q5QXN5.1|	Q5QXN5	RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=ACSs; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Acyl-CoA ligase; AltName: Full=Beta-ketothiolase; AltName: Full=Fatty acid oxidation complex subunit beta [Idiomarina loihiensis L2TR]	42.29	428	2.7899999999999994e-101	311	NA	NA	NA
fadJ_1	sp|Q8XCP2.1|	Q8XCP2	RecName: Full=Fatty acid oxidation complex subunit alpha; Includes: RecName: Full=Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase; Includes: RecName: Full=3-hydroxyacyl-CoA dehydrogenase [Escherichia coli O157:H7]	37.225	728	5.96e-95	312	NA	NA	NA
fadJ_2	sp|Q58EB4.1|	Q58EB4	RecName: Full=3-hydroxyisobutyryl-CoA hydrolase, mitochondrial; AltName: Full=3-hydroxyisobutyryl-coenzyme A hydrolase; Short=HIB-CoA hydrolase; Short=HIBYL-CoA-H; Flags: Precursor [Danio rerio]	36.857	350	9.56e-56	190	NA	NA	NA
fae	sp|Q46AU8.1|	Q46AU8	RecName: Full=5,6,7,8-tetrahydromethanopterin hydro-lyase; AltName: Full=Formaldehyde-activating enzyme; Short=Fae [Methanosarcina barkeri str. Fusaro]	38.272	162	3.12e-33	119	NA	NA	NA
faeE	sp|P25402.1|	P25402	RecName: Full=Chaperone protein FanE; Flags: Precursor [Escherichia coli]	40.686	204	6.979999999999999e-52	171	NA	NA	NA
fan1	sp|Q9I2N0.1|	Q9I2N0	RecName: Full=Fanconi-associated nuclease 1 homolog; Short=PaFAN1; Short=pFAN1 [Pseudomonas aeruginosa PAO1]	60	540	0	551	NA	NA	NA
farR	sp|P62573.1|	P62573	RecName: Full=Homoprotocatechuate degradative operon repressor [Escherichia coli]	48.062	129	9.78e-38	128	NA	NA	NA
fbpA_1	sp|P35755.3|	P35755	RecName: Full=Iron-utilization periplasmic protein; AltName: Full=Fe(3+)-binding protein; AltName: Full=Iron-regulated 40 kDa protein; AltName: Full=Major ferric iron-binding protein; Short=MIRP; Flags: Precursor [Haemophilus influenzae Rd KW20]	45.714	315	5.49e-91	278	NA	NA	NA
fbpA_2	sp|P21408.1|	P21408	RecName: Full=Fe(3+)-binding periplasmic protein; AltName: Full=Iron(III)-binding periplasmic protein; Flags: Precursor [Serratia marcescens]	77.85	307	2.2999999999999995e-180	505	NA	NA	NA
fbp_1	sp|C3K7D6.1|	C3K7D6	RecName: Full=Fructose-1,6-bisphosphatase class 1; Short=FBPase class 1; AltName: Full=D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1 [Pseudomonas [fluorescens] SBW25]	99.702	336	0	695	NA	NA	NA
fbp_2	sp|Q6BX45.1|	Q6BX45	RecName: Full=FK506-binding protein 1; Short=FKBP; AltName: Full=Peptidyl-prolyl cis-trans isomerase; Short=PPIase; AltName: Full=Rapamycin-binding protein [Debaryomyces hansenii CBS767]	51.923	104	3.2999999999999995e-31	109	NA	NA	NA
fbp_2~~~fbp_1	sp|Q6BX45.1|	Q6BX45	RecName: Full=FK506-binding protein 1; Short=FKBP; AltName: Full=Peptidyl-prolyl cis-trans isomerase; Short=PPIase; AltName: Full=Rapamycin-binding protein [Debaryomyces hansenii CBS767]	58.621	58	5.31e-16	69.3	NA	NA	NA
fcuA_1	sp|Q05202.1|	Q05202	RecName: Full=Ferrichrome receptor FcuA; Flags: Precursor [Yersinia enterocolitica]	36.834	676	5.03e-137	427	NA	NA	NA
fcuA_2	sp|Q05202.1|	Q05202	RecName: Full=Ferrichrome receptor FcuA; Flags: Precursor [Yersinia enterocolitica]	45.147	680	0	578	NA	NA	NA
fdhA	sp|P46154.3|	P46154	RecName: Full=Glutathione-independent formaldehyde dehydrogenase; Short=FALDH; Short=FDH; AltName: Full=Formaldehyde dismutase [Pseudomonas putida]	92.982	399	0	717	NA	NA	NA
fdhD	sp|Q7WMS0.1|	Q7WMS0	RecName: Full=Sulfur carrier protein FdhD [Bordetella bronchiseptica RB50]	40.084	237	3.56e-49	167	NA	NA	NA
fdtB	sp|Q6T1W6.1|	Q6T1W6	RecName: Full=dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase; AltName: Full=dTDP-6-deoxy-D-xylo-hex-3-ulose aminase [Aneurinibacillus thermoaerophilus]	55.989	359	5.339999999999999e-143	413	NA	NA	NA
fdxA	sp|P00214.2|	P00214	RecName: Full=Ferredoxin-1; AltName: Full=Ferredoxin I; Short=FdI [Azotobacter vinelandii]	86.916	107	9.96e-66	196	NA	NA	NA
fdx_1	sp|P00208.3|	P00208	RecName: Full=Ferredoxin; AltName: Full=2[4Fe-4S] ferredoxin [Allochromatium vinosum DSM 180]	67.47	83	1.64e-36	120	NA	NA	NA
fdx_2	sp|P44428.2|	P44428	RecName: Full=2Fe-2S ferredoxin [Haemophilus influenzae Rd KW20]	64.602	113	7.12e-44	141	NA	NA	NA
feaB_1	sp|P80668.2|	P80668	RecName: Full=Phenylacetaldehyde dehydrogenase; Short=PAD [Escherichia coli K-12]	46.061	495	2.3e-142	421	NA	NA	NA
feaR	sp|Q00753.2|	Q00753	RecName: Full=Msm operon regulatory protein [Streptococcus mutans UA159]	39.423	104	3.01e-9	60.5	NA	NA	NA
fecA_1	sp|P13036.2|	P13036	RecName: Full=Fe(3+) dicitrate transport protein FecA; AltName: Full=Iron(III) dicitrate transport protein FecA; Flags: Precursor [Escherichia coli K-12]	63.6	750	0	957	NA	NA	NA
fecA_2	sp|P13036.2|	P13036	RecName: Full=Fe(3+) dicitrate transport protein FecA; AltName: Full=Iron(III) dicitrate transport protein FecA; Flags: Precursor [Escherichia coli K-12]	43.798	774	0	585	NA	NA	NA
fecB	sp|P15028.3|	P15028	RecName: Full=Fe(3+) dicitrate-binding periplasmic protein FecB; AltName: Full=Iron(III) dicitrate-binding periplasmic protein; Flags: Precursor [Escherichia coli K-12]	48.649	296	1.6200000000000002e-91	277	NA	NA	NA
fecC	sp|O34933.1|	O34933	RecName: Full=Fe(3+)-citrate import system permease protein YfmD; AltName: Full=Ferric-citrate import system permease protein [Bacillus subtilis subsp. subtilis str. 168]	35.689	283	1.5e-34	132	NA	NA	NA
fecD	sp|O34832.1|	O34832	RecName: Full=Fe(3+)-citrate import system permease protein YfmE; AltName: Full=Ferric-citrate import system permease protein [Bacillus subtilis subsp. subtilis str. 168]	47.297	296	8.46e-53	179	NA	NA	NA
fecE_1	sp|P15031.1|	P15031	RecName: Full=Fe(3+) dicitrate transport ATP-binding protein FecE; AltName: Full=Iron(III) dicitrate transport ATP-binding protein FecE [Escherichia coli K-12]	40.833	240	1.9499999999999997e-52	174	NA	NA	NA
fecE_2	sp|P15031.1|	P15031	RecName: Full=Fe(3+) dicitrate transport ATP-binding protein FecE; AltName: Full=Iron(III) dicitrate transport ATP-binding protein FecE [Escherichia coli K-12]	54.545	253	1.54e-93	278	NA	NA	NA
fecI_1	sp|P23484.3|	P23484	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	44.915	118	1.34e-13	67	NA	NA	NA
fecI_2	sp|P23484.3|	P23484	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	47.771	157	1.59e-42	142	NA	NA	NA
fecI_3	sp|P23484.3|	P23484	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	47.097	155	2.94e-39	134	NA	NA	NA
fecI_4	sp|P23484.3|	P23484	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	35.211	142	5.43e-20	84.7	NA	NA	NA
fecI_5	sp|P23484.3|	P23484	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	32.692	156	1.74e-11	62.4	NA	NA	NA
fecI_6	sp|P23484.3|	P23484	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	51.515	165	1.01e-44	148	NA	NA	NA
fecR_1	sp|P23485.1|	P23485	RecName: Full=Ferric citrate uptake sigma factor regulator FecR [Escherichia coli K-12]	33.546	313	7.310000000000001e-27	110	NA	NA	NA
fecR_2	sp|P23485.1|	P23485	RecName: Full=Ferric citrate uptake sigma factor regulator FecR [Escherichia coli K-12]	35.294	306	1.58e-43	154	NA	NA	NA
fecR_3	sp|P23485.1|	P23485	RecName: Full=Ferric citrate uptake sigma factor regulator FecR [Escherichia coli K-12]	33.168	202	4.02e-16	80.9	NA	NA	NA
fecR_4	sp|P23485.1|	P23485	RecName: Full=Ferric citrate uptake sigma factor regulator FecR [Escherichia coli K-12]	32.143	308	1.72e-38	141	NA	NA	NA
fetA	sp|Q0D9V6.1|	Q0D9V6	RecName: Full=Protein STAR1; AltName: Full=ABC transporter ABCI.12; Short=OsABCI12; AltName: Full=ABC transporter I family member 12; AltName: Full=Protein ALUMINUM SENSITIVE 1; AltName: Full=Protein SENSITIVE TO ALUMINUM RHIZOTOXICITY 1 [Oryza sativa Japonica Group]	39.906	213	2.73e-35	130	NA	NA	NA
fetB	sp|P74369.1|	P74369	RecName: Full=UPF0014 membrane protein slr1647 [Synechocystis sp. PCC 6803 substr. Kazusa]	41.429	210	1.1099999999999999e-39	141	NA	NA	NA
ffh	sp|P0AGD7.1|	P0AGD7	RecName: Full=Signal recognition particle protein; AltName: Full=Fifty-four homolog; Short=Ffh; AltName: Full=p48 [Escherichia coli K-12]	72.104	423	0	575	NA	NA	NA
fhuA	sp|Q47162.2|	Q47162	RecName: Full=Ferrichrysobactin receptor; Flags: Precursor [Dickeya dadantii 3937]	36.091	701	1.3199999999999998e-145	449	NA	NA	NA
fic	sp|P20605.1|	P20605	RecName: Full=Probable protein adenylyltransferase Fic; AltName: Full=Cell filamentation protein Fic [Escherichia coli K-12]	41.026	195	5.56e-51	166	NA	NA	NA
fieF	sp|Q57HF4.1|	Q57HF4	RecName: Full=Cation-efflux pump FieF [Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67]	47.902	286	1.1600000000000001e-91	277	NA	NA	NA
fimD_1	sp|P43662.2|	P43662	RecName: Full=Outer membrane usher protein LpfC; Flags: Precursor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	37.367	843	3.559999999999999e-148	459	NA	NA	NA
fimD_2	sp|P37868.2|	P37868	RecName: Full=Outer membrane usher protein PefC; Flags: Precursor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	31.813	811	1.59e-122	390	NA	NA	NA
fis	sp|Q9HUW0.2|	Q9HUW0	RecName: Full=Putative Fis-like DNA-binding protein [Pseudomonas aeruginosa PAO1]	88.462	104	5.58e-63	189	NA	NA	NA
fixB	sp|Q1QYV9.1|	Q1QYV9	RecName: Full=Electron transfer flavoprotein subunit alpha; Short=Alpha-ETF [Chromohalobacter israelensis DSM 3043]	60.993	423	1.9799999999999996e-162	466	NA	NA	NA
fklB_1	sp|P0A9L3.2|	P0A9L3	RecName: Full=FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase; Short=FKBP22; Short=PPIase; AltName: Full=Rotamase [Escherichia coli K-12]	49.485	194	2.35e-49	162	NA	NA	NA
fklB_2	sp|P0A9L3.2|	P0A9L3	RecName: Full=FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase; Short=FKBP22; Short=PPIase; AltName: Full=Rotamase [Escherichia coli K-12]	47.03	202	1.1199999999999999e-57	185	NA	NA	NA
fkpB	sp|P21863.1|	P21863	RecName: Full=Probable FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase; Short=PPIase; AltName: Full=Rotamase [Pseudomonas fluorescens]	98.667	150	3.27e-104	297	NA	NA	NA
flgB	sp|P16437.2|	P16437	RecName: Full=Flagellar basal body rod protein FlgB; AltName: Full=Putative proximal rod protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	46.97	132	1.36e-36	125	NA	NA	NA
flgC	sp|P0ABX2.1|	P0ABX2	RecName: Full=Flagellar basal-body rod protein FlgC; AltName: Full=Putative proximal rod protein [Escherichia coli K-12]	41.333	150	1.37e-23	92.4	NA	NA	NA
flgD	sp|P75936.1|	P75936	RecName: Full=Basal-body rod modification protein FlgD [Escherichia coli K-12]	41.463	164	1.77e-20	89.7	NA	NA	NA
flgE	sp|P75937.3|	P75937	RecName: Full=Flagellar hook protein FlgE [Escherichia coli K-12]	35.697	423	4.16e-63	212	NA	NA	NA
flgF	sp|P75938.1|	P75938	RecName: Full=Flagellar basal-body rod protein FlgF; AltName: Full=Putative proximal rod protein [Escherichia coli K-12]	39.683	252	5.3e-44	151	NA	NA	NA
flgG	sp|P0A1J3.1|	P0A1J3	RecName: Full=Flagellar basal-body rod protein FlgG; AltName: Full=Distal rod protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	58.301	259	6.349999999999999e-106	310	NA	NA	NA
flgH	sp|C3K0W0.1|	C3K0W0	RecName: Full=Flagellar L-ring protein; AltName: Full=Basal body L-ring protein; Flags: Precursor [Pseudomonas [fluorescens] SBW25]	96.97	231	8.13e-164	454	NA	NA	NA
flgI	sp|Q4KG91.2|	Q4KG91	RecName: Full=Flagellar P-ring protein; AltName: Full=Basal body P-ring protein; Flags: Precursor [Pseudomonas protegens Pf-5]	96.467	368	0	644	NA	NA	NA
flhA	sp|P76298.1|	P76298	RecName: Full=Flagellar biosynthesis protein FlhA [Escherichia coli K-12]	53.253	661	0	557	NA	NA	NA
flhB_1	sp|P40727.1|	P40727	RecName: Full=Flagellar biosynthetic protein FlhB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	41.226	359	1.5200000000000001e-77	246	NA	NA	NA
flhB_2	sp|O34867.1|	O34867	RecName: Full=Uncharacterized protein YlqH [Bacillus subtilis subsp. subtilis str. 168]	45.882	85	5.52e-17	72.8	NA	NA	NA
flhF	sp|O52256.1|	O52256	RecName: Full=Flagellar biosynthesis protein FlhF; AltName: Full=Flagella-associated GTP-binding protein [Pseudomonas putida]	86.56	439	0	731	NA	NA	NA
fliA	sp|P29248.1|	P29248	RecName: Full=RNA polymerase sigma factor FliA; AltName: Full=RNA polymerase sigma factor for flagellar operon; AltName: Full=Sigma F; AltName: Full=Sigma-28 [Pseudomonas aeruginosa PAO1]	83.197	244	1.32e-142	402	NA	NA	NA
fliC	sp|P72151.2|	P72151	RecName: Full=B-type flagellin [Pseudomonas aeruginosa PAO1]	56.656	323	1.08e-73	243	NA	NA	NA
fliD	sp|O33421.1|	O33421	RecName: Full=A-type flagellar hook-associated protein 2; Short=HAP2; AltName: Full=Filament cap protein; AltName: Full=Flagellar cap protein [Pseudomonas aeruginosa]	33.962	477	2.68e-59	205	NA	NA	NA
fliE	sp|C3K0U6.1|	C3K0U6	RecName: Full=Flagellar hook-basal body complex protein FliE [Pseudomonas [fluorescens] SBW25]	98.165	109	1.72e-72	213	NA	NA	NA
fliF	sp|Q51463.2|	Q51463	RecName: Full=Flagellar M-ring protein [Pseudomonas aeruginosa PAO1]	74.667	600	0	795	NA	NA	NA
fliG	sp|Q51464.2|	Q51464	RecName: Full=Flagellar motor switch protein FliG [Pseudomonas aeruginosa PAO1]	88.166	338	0	612	NA	NA	NA
fliI	sp|Q9I4N1.1|	Q9I4N1	RecName: Full=Flagellum-specific ATP synthase [Pseudomonas aeruginosa PAO1]	87.248	447	0	783	NA	NA	NA
fliJ	sp|P52613.2|	P52613	RecName: Full=Flagellar FliJ protein [Escherichia coli K-12]	30.714	140	4.68e-11	60.5	NA	NA	NA
fliM	sp|Q51465.2|	Q51465	RecName: Full=Flagellar motor switch protein FliM [Pseudomonas aeruginosa PAO1]	89.097	321	0	588	NA	NA	NA
fliN	sp|Q51466.2|	Q51466	RecName: Full=Flagellar motor switch protein FliN [Pseudomonas aeruginosa PAO1]	86.792	106	1.24e-57	179	NA	NA	NA
fliP_1	sp|Q51468.2|	Q51468	RecName: Full=Flagellar biosynthetic protein FliP [Pseudomonas aeruginosa PAO1]	84.163	221	6.379999999999999e-130	370	NA	NA	NA
fliP_2	sp|Q60236.1|	Q60236	RecName: Full=Harpin secretion protein HrpW [Pseudomonas syringae pv. syringae]	72.917	192	1.8399999999999998e-88	262	NA	NA	NA
fliQ	sp|Q8KA36.1|	Q8KA36	RecName: Full=Flagellar biosynthetic protein FliQ [Buchnera aphidicola str. Sg (Schizaphis graminum)]	39.773	88	2.01e-15	68.2	NA	NA	NA
fliR	sp|P34202.1|	P34202	RecName: Full=Flagellar biosynthetic protein FliR; AltName: Full=Flagellar biosynthetic protein MopE [Pectobacterium carotovorum subsp. carotovorum]	38.71	217	3.34e-36	132	NA	NA	NA
fliS	sp|Q9I4N6.1|	Q9I4N6	RecName: Full=Flagellar secretion chaperone FliSB; AltName: Full=B-type flagellar protein FliS [Pseudomonas aeruginosa PAO1]	51.969	127	1.21e-34	119	NA	NA	NA
