qseqid	sseqid	stitle	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	uniprot_acc	uniprot_full
estA	sp|O33407.1|	RecName: Full=Esterase EstA; AltName: Full=Autotransporter esterase EstA; Flags: Precursor [Pseudomonas aeruginosa PAO1]	64.462	650	217	5	1	1920	1	646	0	794	O33407	O33407.1
estB_1	sp|Q53547.1|	RecName: Full=Carboxylesterase 2; AltName: Full=Esterase II [Pseudomonas fluorescens]	94.037	218	13	0	1	654	1	218	2.66e-154	429	Q53547	Q53547.1
estB_2	sp|P0CL94.1|	RecName: Full=Acyl-protein thioesterase 1; AltName: Full=Palmitoyl-protein hydrolase [Cryptococcus deneoformans JEC21]	30.455	220	128	8	130	717	20	238	1.92e-13	70.9	P0CL94	P0CL94.1
etfA	sp|Q9HZP7.1|	RecName: Full=Electron transfer flavoprotein subunit alpha; Short=Alpha-ETF; AltName: Full=Electron transfer flavoprotein large subunit; Short=ETFLS [Pseudomonas aeruginosa PAO1]	87.702	309	38	0	1	927	1	309	4.779999999999999e-144	410	Q9HZP7	Q9HZP7.1
etfB	sp|Q9HZP6.1|	RecName: Full=Electron transfer flavoprotein subunit beta; Short=Beta-ETF; AltName: Full=Electron transfer flavoprotein small subunit; Short=ETFSS [Pseudomonas aeruginosa PAO1]	92.369	249	19	0	1	747	1	249	3.8599999999999994e-162	451	Q9HZP6	Q9HZP6.1
ettA_1	sp|P45127.1|	RecName: Full=Energy-dependent translational throttle protein EttA; AltName: Full=Translational regulatory factor EttA [Haemophilus influenzae Rd KW20]	72.875	553	150	0	4	1662	3	555	0	780	P45127	P45127.1
ettA_2	sp|A0A0H2VFI8.1|	RecName: Full=Energy-dependent translational throttle protein EttA; AltName: Full=Translational regulatory factor EttA [Escherichia coli CFT073]	30.168	537	304	18	91	1614	24	518	7.96e-39	152	A0A0H2VFI8	A0A0H2VFI8.1
eutB	sp|P0AEJ6.1|	RecName: Full=Ethanolamine ammonia-lyase large subunit; Short=EAL large subunit; AltName: Full=Ethanolamine ammonia-lyase alpha subunit; AltName: Full=Ethanolamine ammonia-lyase heavy chain; AltName: Full=Ethanolamine deaminase large subunit [Escherichia coli K-12]	51.376	436	209	2	31	1338	10	442	4.0599999999999995e-152	443	P0AEJ6	P0AEJ6.1
eutC	sp|C3K2P6.1|	RecName: Full=Ethanolamine ammonia-lyase small subunit; Short=EAL small subunit [Pseudomonas [fluorescens] SBW25]	93.382	272	18	0	1	816	6	277	0	522	C3K2P6	C3K2P6.1
exbD_1	sp|Q05606.1|	RecName: Full=Biopolymer transport protein ExbD [Pseudomonas putida]	80.986	142	26	1	1	423	1	142	2.6900000000000002e-79	233	Q05606	Q05606.1
exbD_2	sp|P50599.1|	RecName: Full=Tol-Pal system protein TolR [Pseudomonas aeruginosa PAO1]	78.667	150	28	1	10	459	1	146	7.3e-81	238	P50599	P50599.1
exbD_4	sp|Q9RMT1.1|	RecName: Full=Biopolymer transport protein ExbD [Pseudomonas aeruginosa PAO1]	88.722	133	15	0	1	399	1	133	8.88e-66	198	Q9RMT1	Q9RMT1.1
exoA	sp|O26314.1|	RecName: Full=DNA uridine endonuclease; Short=DNA U-endo; Short=DNA U-endonuclease; AltName: Full=AP endonuclease; AltName: Full=ExoMt [Methanothermobacter thermautotrophicus str. Delta H]	31.727	249	169	1	1	747	4	251	1.28e-45	156	O26314	O26314.1
exuT_1	sp|P0AA78.2|	RecName: Full=Hexuronate transporter; AltName: Full=Aldohexuronate transport system; Flags: Precursor [Escherichia coli K-12]	30.077	389	256	5	64	1209	3	382	5.23e-41	154	P0AA78	P0AA78.2
exuT_2	sp|P94774.1|	RecName: Full=Galacturonate transporter; Flags: Precursor [Dickeya chrysanthemi]	30.449	312	192	3	91	1026	4	290	6.56e-39	147	P94774	P94774.1
exuT_3	sp|O34456.1|	RecName: Full=Hexuronate transporter; AltName: Full=Aldohexuronate transport system [Bacillus subtilis subsp. subtilis str. 168]	30.738	244	147	6	76	771	21	254	2.09e-16	84.3	O34456	O34456.1
fabA	sp|Q4KFX0.1|	RecName: Full=3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase; AltName: Full=3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA; AltName: Full=Beta-hydroxydecanoyl thioester dehydrase; AltName: Full=Trans-2-decenoyl-[acyl-carrier-protein] isomerase [Pseudomonas protegens Pf-5]	98.246	171	3	0	1	513	1	171	1.4399999999999999e-124	350	Q4KFX0	Q4KFX0.1
fabB	sp|Q02K94.1|	RecName: Full=3-oxoacyl-[acyl-carrier-protein] synthase 1; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase I; AltName: Full=Beta-ketoacyl-ACP synthase I; Short=KAS I [Pseudomonas aeruginosa UCBPP-PA14]	88.395	405	47	0	1	1215	1	405	0	691	Q02K94	Q02K94.1
fabD_1	sp|P43712.1|	RecName: Full=Malonyl CoA-acyl carrier protein transacylase; Short=MCT [Haemophilus influenzae Rd KW20]	38.462	286	154	9	13	810	6	289	4.04e-35	132	P43712	P43712.1
fabD_2	sp|O85140.3|	RecName: Full=Malonyl CoA-acyl carrier protein transacylase; Short=MCT [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	62.876	299	111	0	7	903	2	300	8.16e-127	367	O85140	O85140.3
fabF_1	sp|O34340.1|	RecName: Full=3-oxoacyl-[acyl-carrier-protein] synthase 2; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase II; AltName: Full=Beta-ketoacyl-ACP synthase II; Short=KAS II [Bacillus subtilis subsp. subtilis str. 168]	38.499	413	242	7	4	1221	4	411	1.67e-69	228	O34340	O34340.1
fabF_2	sp|P55338.2|	RecName: Full=3-oxoacyl-[acyl-carrier-protein] synthase 2; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase II; AltName: Full=Beta-ketoacyl-ACP synthase II; Short=KAS II [Vibrio harveyi]	64.096	415	148	1	1	1242	1	415	0	523	P55338	P55338.2
fabG_1	sp|Q49117.2|	RecName: Full=Uncharacterized oxidoreductase MexAM1_META1p0182; AltName: Full=ORFC [Methylorubrum extorquens AM1]	37.247	247	149	2	10	750	7	247	3.2999999999999997e-41	144	Q49117	Q49117.2
fabG_2	sp|P70720.1|	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase [Aggregatibacter actinomycetemcomitans]	77.686	242	54	0	1	726	1	242	6.199999999999999e-126	359	P70720	P70720.1
fabG_3	sp|O67610.1|	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase [Aquifex aeolicus VF5]	41.667	180	100	2	208	735	68	246	3.4699999999999996e-42	147	O67610	O67610.1
fabG_4	sp|Q8N4T8.3|	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase; AltName: Full=3-ketoacyl-[acyl-carrier-protein] reductase beta subunit; Short=KAR beta subunit; AltName: Full=Carbonyl reductase family member 4; Short=CBR4; AltName: Full=Quinone reductase CBR4; AltName: Full=Short chain dehydrogenase/reductase family 45C member 1 [Homo sapiens]	33.333	144	88	2	226	642	74	214	5.42e-13	70.1	Q8N4T8	Q8N4T8.3
fabG_5	sp|Q9KQH7.2|	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase [Vibrio cholerae O1 biovar El Tor str. N16961]	41.6	250	131	6	22	759	6	244	1.15e-45	156	Q9KQH7	Q9KQH7.2
fabG_6	sp|O54438.1|	RecName: Full=3-oxoacyl-[acyl-carrier-protein] reductase FabG; AltName: Full=3-ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-Ketoacyl-acyl carrier protein reductase; AltName: Full=Beta-ketoacyl-ACP reductase [Pseudomonas aeruginosa PAO1]	86.235	247	34	0	1	741	1	247	3.739999999999999e-152	426	O54438	O54438.1
fabG_7	sp|Q9GKX2.1|	RecName: Full=Dehydrogenase/reductase SDR family member 4; AltName: Full=NADPH-dependent carbonyl reductase; Short=CR; Short=RACR; AltName: Full=NADPH-dependent retinol dehydrogenase/reductase; Short=NDRD; AltName: Full=Peroxisomal short-chain alcohol dehydrogenase; Short=PSCD; AltName: Full=Short chain dehydrogenase/reductase family 25C member 2; Short=Protein SDR25C2; AltName: Full=rabNRDR [Oryctolagus cuniculus]	38.525	244	150	0	25	756	12	255	1.34e-41	146	Q9GKX2	Q9GKX2.1
fabH	sp|Q9CHG0.1|	RecName: Full=Beta-ketoacyl-[acyl-carrier-protein] synthase III; Short=Beta-ketoacyl-ACP synthase III; Short=KAS III; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase 3; AltName: Full=3-oxoacyl-[acyl-carrier-protein] synthase III [Lactococcus lactis subsp. lactis Il1403]	30.982	326	194	11	10	918	6	323	4.7e-44	156	Q9CHG0	Q9CHG0.1
fabR	sp|A6TGE7.1|	RecName: Full=HTH-type transcriptional repressor FabR [Klebsiella pneumoniae subsp. pneumoniae MGH 78578]	40.972	144	82	1	10	432	4	147	1.04e-26	104	A6TGE7	A6TGE7.1
fabV	sp|C3K5J5.1|	RecName: Full=Enoyl-[acyl-carrier-protein] reductase [NADH]; Short=ENR [Pseudomonas [fluorescens] SBW25]	97.733	397	9	0	1	1191	1	397	0	764	C3K5J5	C3K5J5.1
fabZ	sp|C3K606.1|	RecName: Full=3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ; AltName: Full=(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase; Short=(3R)-hydroxymyristoyl-ACP dehydrase; AltName: Full=Beta-hydroxyacyl-ACP dehydratase [Pseudomonas [fluorescens] SBW25]	100	146	0	0	1	438	1	146	7.939999999999998e-107	303	C3K606	C3K606.1
fadA_1	sp|O53871.1|	RecName: Full=Putative acyltransferase Rv0859 [Mycobacterium tuberculosis H37Rv]	65.586	401	135	3	7	1203	4	403	0	523	O53871	O53871.1
fadA_2	sp|O32177.1|	RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Beta-ketothiolase [Bacillus subtilis subsp. subtilis str. 168]	48.101	395	195	4	1	1173	1	389	4.75e-113	338	O32177	O32177.1
fadA_3	sp|Q4KFC3.1|	RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Beta-ketothiolase; AltName: Full=Fatty acid oxidation complex subunit beta [Pseudomonas protegens Pf-5]	95.908	391	16	0	1	1173	1	391	0	755	Q4KFC3	Q4KFC3.1
fadA_4	sp|O26884.1|	RecName: Full=Acetyl-CoA acetyltransferase; AltName: Full=Acetoacetyl-CoA thiolase [Methanothermobacter thermautotrophicus str. Delta H]	36.631	374	229	4	16	1131	4	371	1.34e-71	232	O26884	O26884.1
fadB	sp|C3K613.1|	RecName: Full=Fatty acid oxidation complex subunit alpha; Includes: RecName: Full=Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase; Includes: RecName: Full=3-hydroxyacyl-CoA dehydrogenase [Pseudomonas [fluorescens] SBW25]	99.301	715	5	0	1	2145	1	715	0	1409	C3K613	C3K613.1
fadD3	sp|O31826.1|	RecName: Full=Putative acyl-CoA synthetase YngI [Bacillus subtilis subsp. subtilis str. 168]	46.568	539	270	4	49	1614	4	541	3.839999999999999e-176	511	O31826	O31826.1
fadD_1	sp|Q8XDR6.1|	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase; Short=Acyl-CoA synthetase [Escherichia coli O157:H7]	55.37	540	238	3	16	1632	5	542	0	624	Q8XDR6	Q8XDR6.1
fadD_2	sp|P63521.1|	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	51.167	557	264	2	16	1686	5	553	0	588	P63521	P63521.1
fadD_3	sp|Q8XDR6.1|	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase; Short=Acyl-CoA synthetase [Escherichia coli O157:H7]	53.214	560	249	7	28	1701	2	550	0	574	Q8XDR6	Q8XDR6.1
fadD_4	sp|P69451.1|	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase; Short=Acyl-CoA synthetase [Escherichia coli K-12]	52.057	559	256	4	16	1686	5	553	0	595	P69451	P69451.1
fadD_5	sp|P63521.1|	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	49.58	119	60	0	1	357	13	131	5.5e-37	134	P63521	P63521.1
fadD_6	sp|P63521.1|	RecName: Full=Long-chain-fatty-acid--CoA ligase; AltName: Full=Long-chain acyl-CoA synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	59.42	138	55	1	1	414	415	551	9.12e-51	172	P63521	P63521.1
fadE_1	sp|Q8ZBY6.1|	RecName: Full=Acyl-coenzyme A dehydrogenase; Short=ACDH; Short=Acyl-CoA dehydrogenase [Yersinia pestis]	51.544	745	349	3	187	2421	60	792	0	762	Q8ZBY6	Q8ZBY6.1
fadE_2	sp|Q47146.2|	RecName: Full=Acyl-coenzyme A dehydrogenase; Short=ACDH; Short=Acyl-CoA dehydrogenase [Escherichia coli K-12]	54.374	743	329	5	199	2421	63	797	0	788	Q47146	Q47146.2
fadH	sp|P42593.3|	RecName: Full=2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]; Short=DCR; AltName: Full=2,4-dienoyl-coenzyme A reductase [NADPH] [Escherichia coli K-12]	63.476	679	236	5	13	2037	2	672	0	790	P42593	P42593.3
fadI_1	sp|A1RI91.1|	RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=ACSs; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Acyl-CoA ligase; AltName: Full=Beta-ketothiolase; AltName: Full=Fatty acid oxidation complex subunit beta [Shewanella sp. W3-18-1]	39.765	425	246	4	16	1272	14	434	6.42e-95	295	A1RI91	A1RI91.1
fadI_2	sp|Q5QXN5.1|	RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=ACSs; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Acyl-CoA ligase; AltName: Full=Beta-ketothiolase; AltName: Full=Fatty acid oxidation complex subunit beta [Idiomarina loihiensis L2TR]	42.29	428	231	5	37	1293	14	434	2.7899999999999994e-101	311	Q5QXN5	Q5QXN5.1
fadJ_1	sp|Q8XCP2.1|	RecName: Full=Fatty acid oxidation complex subunit alpha; Includes: RecName: Full=Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase; Includes: RecName: Full=3-hydroxyacyl-CoA dehydrogenase [Escherichia coli O157:H7]	37.225	728	418	14	1	2142	3	705	5.96e-95	312	Q8XCP2	Q8XCP2.1
fadJ_2	sp|Q58EB4.1|	RecName: Full=3-hydroxyisobutyryl-CoA hydrolase, mitochondrial; AltName: Full=3-hydroxyisobutyryl-coenzyme A hydrolase; Short=HIB-CoA hydrolase; Short=HIBYL-CoA-H; Flags: Precursor [Danio rerio]	36.857	350	197	5	40	1065	40	373	9.56e-56	190	Q58EB4	Q58EB4.1
fae	sp|Q46AU8.1|	RecName: Full=5,6,7,8-tetrahydromethanopterin hydro-lyase; AltName: Full=Formaldehyde-activating enzyme; Short=Fae [Methanosarcina barkeri str. Fusaro]	38.272	162	100	0	10	495	16	177	3.12e-33	119	Q46AU8	Q46AU8.1
faeE	sp|P25402.1|	RecName: Full=Chaperone protein FanE; Flags: Precursor [Escherichia coli]	40.686	204	120	1	73	684	21	223	6.979999999999999e-52	171	P25402	P25402.1
fan1	sp|Q9I2N0.1|	RecName: Full=Fanconi-associated nuclease 1 homolog; Short=PaFAN1; Short=pFAN1 [Pseudomonas aeruginosa PAO1]	60	540	215	1	13	1629	16	555	0	551	Q9I2N0	Q9I2N0.1
farR	sp|P62573.1|	RecName: Full=Homoprotocatechuate degradative operon repressor [Escherichia coli]	48.062	129	67	0	19	405	4	132	9.78e-38	128	P62573	P62573.1
fbpA_1	sp|P35755.3|	RecName: Full=Iron-utilization periplasmic protein; AltName: Full=Fe(3+)-binding protein; AltName: Full=Iron-regulated 40 kDa protein; AltName: Full=Major ferric iron-binding protein; Short=MIRP; Flags: Precursor [Haemophilus influenzae Rd KW20]	45.714	315	166	3	91	1020	17	331	5.49e-91	278	P35755	P35755.3
fbpA_2	sp|P21408.1|	RecName: Full=Fe(3+)-binding periplasmic protein; AltName: Full=Iron(III)-binding periplasmic protein; Flags: Precursor [Serratia marcescens]	77.85	307	68	0	91	1011	32	338	2.2999999999999995e-180	505	P21408	P21408.1
fbp_1	sp|C3K7D6.1|	RecName: Full=Fructose-1,6-bisphosphatase class 1; Short=FBPase class 1; AltName: Full=D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1 [Pseudomonas [fluorescens] SBW25]	99.702	336	1	0	1	1008	1	336	0	695	C3K7D6	C3K7D6.1
fbp_2	sp|Q6BX45.1|	RecName: Full=FK506-binding protein 1; Short=FKBP; AltName: Full=Peptidyl-prolyl cis-trans isomerase; Short=PPIase; AltName: Full=Rapamycin-binding protein [Debaryomyces hansenii CBS767]	51.923	104	49	1	19	327	8	111	3.2999999999999995e-31	109	Q6BX45	Q6BX45.1
fbp_2~~~fbp_1	sp|Q6BX45.1|	RecName: Full=FK506-binding protein 1; Short=FKBP; AltName: Full=Peptidyl-prolyl cis-trans isomerase; Short=PPIase; AltName: Full=Rapamycin-binding protein [Debaryomyces hansenii CBS767]	58.621	58	23	1	19	189	8	65	5.31e-16	69.3	Q6BX45	Q6BX45.1
fcuA_1	sp|Q05202.1|	RecName: Full=Ferrichrome receptor FcuA; Flags: Precursor [Yersinia enterocolitica]	36.834	676	412	7	409	2403	87	758	5.03e-137	427	Q05202	Q05202.1
fcuA_2	sp|Q05202.1|	RecName: Full=Ferrichrome receptor FcuA; Flags: Precursor [Yersinia enterocolitica]	45.147	680	362	5	199	2232	88	758	0	578	Q05202	Q05202.1
fdhA	sp|P46154.3|	RecName: Full=Glutathione-independent formaldehyde dehydrogenase; Short=FALDH; Short=FDH; AltName: Full=Formaldehyde dismutase [Pseudomonas putida]	92.982	399	28	0	1	1197	1	399	0	717	P46154	P46154.3
fdhD	sp|Q7WMS0.1|	RecName: Full=Sulfur carrier protein FdhD [Bordetella bronchiseptica RB50]	40.084	237	142	0	106	816	33	269	3.56e-49	167	Q7WMS0	Q7WMS0.1
fdtB	sp|Q6T1W6.1|	RecName: Full=dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase; AltName: Full=dTDP-6-deoxy-D-xylo-hex-3-ulose aminase [Aneurinibacillus thermoaerophilus]	55.989	359	145	4	1	1074	1	347	5.339999999999999e-143	413	Q6T1W6	Q6T1W6.1
fdxA	sp|P00214.2|	RecName: Full=Ferredoxin-1; AltName: Full=Ferredoxin I; Short=FdI [Azotobacter vinelandii]	86.916	107	14	0	1	321	1	107	9.96e-66	196	P00214	P00214.2
fdx_1	sp|P00208.3|	RecName: Full=Ferredoxin; AltName: Full=2[4Fe-4S] ferredoxin [Allochromatium vinosum DSM 180]	67.47	83	27	0	1	249	1	83	1.64e-36	120	P00208	P00208.3
fdx_2	sp|P44428.2|	RecName: Full=2Fe-2S ferredoxin [Haemophilus influenzae Rd KW20]	64.602	113	40	0	1	339	1	113	7.12e-44	141	P44428	P44428.2
feaB_1	sp|P80668.2|	RecName: Full=Phenylacetaldehyde dehydrogenase; Short=PAD [Escherichia coli K-12]	46.061	495	263	3	10	1485	6	499	2.3e-142	421	P80668	P80668.2
feaR	sp|Q00753.2|	RecName: Full=Msm operon regulatory protein [Streptococcus mutans UA159]	39.423	104	57	3	610	912	172	272	3.01e-9	60.5	Q00753	Q00753.2
fecA_1	sp|P13036.2|	RecName: Full=Fe(3+) dicitrate transport protein FecA; AltName: Full=Iron(III) dicitrate transport protein FecA; Flags: Precursor [Escherichia coli K-12]	63.6	750	268	3	88	2334	29	774	0	957	P13036	P13036.2
fecA_2	sp|P13036.2|	RecName: Full=Fe(3+) dicitrate transport protein FecA; AltName: Full=Iron(III) dicitrate transport protein FecA; Flags: Precursor [Escherichia coli K-12]	43.798	774	392	16	121	2418	36	774	0	585	P13036	P13036.2
fecB	sp|P15028.3|	RecName: Full=Fe(3+) dicitrate-binding periplasmic protein FecB; AltName: Full=Iron(III) dicitrate-binding periplasmic protein; Flags: Precursor [Escherichia coli K-12]	48.649	296	146	3	7	891	1	291	1.6200000000000002e-91	277	P15028	P15028.3
fecC	sp|O34933.1|	RecName: Full=Fe(3+)-citrate import system permease protein YfmD; AltName: Full=Ferric-citrate import system permease protein [Bacillus subtilis subsp. subtilis str. 168]	35.689	283	177	1	133	981	51	328	1.5e-34	132	O34933	O34933.1
fecD	sp|O34832.1|	RecName: Full=Fe(3+)-citrate import system permease protein YfmE; AltName: Full=Ferric-citrate import system permease protein [Bacillus subtilis subsp. subtilis str. 168]	47.297	296	153	3	82	963	35	329	8.46e-53	179	O34832	O34832.1
fecE_1	sp|P15031.1|	RecName: Full=Fe(3+) dicitrate transport ATP-binding protein FecE; AltName: Full=Iron(III) dicitrate transport ATP-binding protein FecE [Escherichia coli K-12]	40.833	240	138	2	49	756	16	255	1.9499999999999997e-52	174	P15031	P15031.1
fecE_2	sp|P15031.1|	RecName: Full=Fe(3+) dicitrate transport ATP-binding protein FecE; AltName: Full=Iron(III) dicitrate transport ATP-binding protein FecE [Escherichia coli K-12]	54.545	253	115	0	10	768	3	255	1.54e-93	278	P15031	P15031.1
fecI_1	sp|P23484.3|	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	44.915	118	65	0	1	354	47	164	1.34e-13	67	P23484	P23484.3
fecI_2	sp|P23484.3|	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	47.771	157	81	1	34	504	15	170	1.59e-42	142	P23484	P23484.3
fecI_3	sp|P23484.3|	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	47.097	155	82	0	43	507	16	170	2.94e-39	134	P23484	P23484.3
fecI_4	sp|P23484.3|	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	35.211	142	91	1	25	450	24	164	5.43e-20	84.7	P23484	P23484.3
fecI_5	sp|P23484.3|	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	32.692	156	86	6	43	468	13	163	1.74e-11	62.4	P23484	P23484.3
fecI_6	sp|P23484.3|	RecName: Full=Ferric citrate uptake sigma factor FecI [Escherichia coli K-12]	51.515	165	79	1	22	516	6	169	1.01e-44	148	P23484	P23484.3
fecR_1	sp|P23485.1|	RecName: Full=Ferric citrate uptake sigma factor regulator FecR [Escherichia coli K-12]	33.546	313	192	6	37	960	15	316	7.310000000000001e-27	110	P23485	P23485.1
fecR_2	sp|P23485.1|	RecName: Full=Ferric citrate uptake sigma factor regulator FecR [Escherichia coli K-12]	35.294	306	194	2	16	927	11	314	1.58e-43	154	P23485	P23485.1
fecR_3	sp|P23485.1|	RecName: Full=Ferric citrate uptake sigma factor regulator FecR [Escherichia coli K-12]	33.168	202	130	5	322	921	109	307	4.02e-16	80.9	P23485	P23485.1
fecR_4	sp|P23485.1|	RecName: Full=Ferric citrate uptake sigma factor regulator FecR [Escherichia coli K-12]	32.143	308	200	5	7	909	10	315	1.72e-38	141	P23485	P23485.1
fetA	sp|Q0D9V6.1|	RecName: Full=Protein STAR1; AltName: Full=ABC transporter ABCI.12; Short=OsABCI12; AltName: Full=ABC transporter I family member 12; AltName: Full=Protein ALUMINUM SENSITIVE 1; AltName: Full=Protein SENSITIVE TO ALUMINUM RHIZOTOXICITY 1 [Oryza sativa Japonica Group]	39.906	213	124	2	13	651	112	320	2.73e-35	130	Q0D9V6	Q0D9V6.1
fetB	sp|P74369.1|	RecName: Full=UPF0014 membrane protein slr1647 [Synechocystis sp. PCC 6803 substr. Kazusa]	41.429	210	119	2	112	735	40	247	1.1099999999999999e-39	141	P74369	P74369.1
ffh	sp|P0AGD7.1|	RecName: Full=Signal recognition particle protein; AltName: Full=Fifty-four homolog; Short=Ffh; AltName: Full=p48 [Escherichia coli K-12]	72.104	423	109	3	1	1260	1	417	0	575	P0AGD7	P0AGD7.1
fhuA	sp|Q47162.2|	RecName: Full=Ferrichrysobactin receptor; Flags: Precursor [Dickeya dadantii 3937]	36.091	701	429	11	361	2436	45	735	1.3199999999999998e-145	449	Q47162	Q47162.2
fic	sp|P20605.1|	RecName: Full=Probable protein adenylyltransferase Fic; AltName: Full=Cell filamentation protein Fic [Escherichia coli K-12]	41.026	195	115	0	1	585	1	195	5.56e-51	166	P20605	P20605.1
fieF	sp|Q57HF4.1|	RecName: Full=Cation-efflux pump FieF [Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67]	47.902	286	149	0	19	876	5	290	1.1600000000000001e-91	277	Q57HF4	Q57HF4.1
fimD_1	sp|P43662.2|	RecName: Full=Outer membrane usher protein LpfC; Flags: Precursor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	37.367	843	480	22	55	2502	20	841	3.559999999999999e-148	459	P43662	P43662.2
fimD_2	sp|P37868.2|	RecName: Full=Outer membrane usher protein PefC; Flags: Precursor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	31.813	811	508	17	25	2379	11	802	1.59e-122	390	P37868	P37868.2
fis	sp|Q9HUW0.2|	RecName: Full=Putative Fis-like DNA-binding protein [Pseudomonas aeruginosa PAO1]	88.462	104	12	0	7	318	1	104	5.58e-63	189	Q9HUW0	Q9HUW0.2
fixB	sp|Q1QYV9.1|	RecName: Full=Electron transfer flavoprotein subunit alpha; Short=Alpha-ETF [Chromohalobacter israelensis DSM 3043]	60.993	423	147	5	1	1218	1	422	1.9799999999999996e-162	466	Q1QYV9	Q1QYV9.1
fklB_1	sp|P0A9L3.2|	RecName: Full=FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase; Short=FKBP22; Short=PPIase; AltName: Full=Rotamase [Escherichia coli K-12]	49.485	194	97	1	1	579	1	194	2.35e-49	162	P0A9L3	P0A9L3.2
fklB_2	sp|P0A9L3.2|	RecName: Full=FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase; Short=FKBP22; Short=PPIase; AltName: Full=Rotamase [Escherichia coli K-12]	47.03	202	107	0	70	675	2	203	1.1199999999999999e-57	185	P0A9L3	P0A9L3.2
fkpB	sp|P21863.1|	RecName: Full=Probable FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase; Short=PPIase; AltName: Full=Rotamase [Pseudomonas fluorescens]	98.667	150	2	0	1	450	1	150	3.27e-104	297	P21863	P21863.1
flgB	sp|P16437.2|	RecName: Full=Flagellar basal body rod protein FlgB; AltName: Full=Putative proximal rod protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	46.97	132	68	1	13	402	5	136	1.36e-36	125	P16437	P16437.2
flgC	sp|P0ABX2.1|	RecName: Full=Flagellar basal-body rod protein FlgC; AltName: Full=Putative proximal rod protein [Escherichia coli K-12]	41.333	150	72	1	1	450	1	134	1.37e-23	92.4	P0ABX2	P0ABX2.1
